FBbt_ID	cell_type	cell_number	soma_loc	hemilineage	N	iT1	lT1	L1	X	W	iT2	lT2	L2	H	iT3	L3	A	Ext	Seg	Specific lines	Other lines	other names in Drosophila	orthologous cells with visualized morphology	Calliphora erythrocephala, Manduca sexta, Bombyx mori
FBbt:00052993	WBL030	1	1pdl	3B T1	mm	-D				MM									+	SS31259, SS44002	SS44003, SS47219, SS47222, SS48268			
FBbt:00052994	WBL031	1	1pvl	3B T1	d-					Pm				m-					+	SS44002, SS44003				
FBbt:00052995	WBL032	2	1pvl	3B T1	d-					Pm									+	SS44003	SS48268			
FBbt:00052996	WBL033	1	2pvm	3B T2	dm					MA				m-					+		SS47192			
FBbt:00052997	WBL034	1	2pdm	19B T2						MM									+		SS37233, SS49041			
FBbt:00052998	WBL035	1	2pdm	19B T2	m-					MA	D-								+	SS20796	SS40778, SS37233			
FBbt:00052999	WBL036	1	2pdl	19B T2						MM				d-					+	SS20796	SS37233			
FBbt:00053000	WBL037	1	2pdl	19B T2	mm					MM									+	SS49041				
FBbt:00053001	WBL038	1	2pdm	19B T2						MM									+		SS37233, SS40778			
FBbt:00053002	WUI001	1	2pvl	3B T2						M-	m-			M-	m-						SS49800, SS49778			
FBbt:00053003	WUI002	1	2pvl	3B T2						M-	d-			M-						SS49778, SS49807	SS49800			
FBbt:00053004	WUI003	3	2pvl	3B T2						M-				M-						SS49807	SS29871			
FBbt:00053005	WUI004	2	3pvm	abd					-m	-M	-d		-m	-M	-d	-d	-m		+		SS29871			
FBbt:00053006	WUI005	3	1pvl	3B T1	m-	d-				M-	M-	m-		m-	m-					SS49779				
FBbt:00053007	WUI006	1	2avm	6B T2	-d				-d	-M	-d			-a						SS40456, SS53421	SS42447			
FBbt:00053008	WUI007	1	2pvm	6B T2	-a					-M	-m			-m						SS53421				
FBbt:00053009	WUI008	1	2avm	6B T2	-a					-M	-d			-m						SS40456, SS53421	SS42447			
FBbt:00053010	WUI009	1	2avm	6B T2	-m				-d	-M	-d			-A						SS40456, SS53421	SS42447			
FBbt:00053011	WUI010	10	2avm	6B T2					-d	-M	-M	-m	-d	-A					+	SS49799				
FBbt:00053012	WUI011	1	3avm	3B T2						M-	d-			M-							SS49800			
FBbt:00053013	WUI012	1	2pvm	3B T2						M-				M-							SS49800			
FBbt:00053014	WUL001	5	2avm	2A T2						-M	-M										SS44314			
FBbt:00053015	WUL002	1	2avm	2A T2	d-			d-		M-	m-									SS31472	SS44314			
FBbt:00053016	WUL003	1	2adl	11B T2						M-	d-									SS33409, SS49042				
FBbt:00053017	WUL004	1	2adl	11B T2						M-	m-	d-								SS33409, SS49041				
FBbt:00053018	WUL005	1	2pdl	11B T2						M-	d-	a-								SS33409, SS49042	SS49800			
FBbt:00053019	WUL006	1	2pdm	11B T2						M-	M-									SS25511, SS33409				
FBbt:00053020	WUL007	1	2adl	17A T2					D-	M-	m-		d-	a-							SS42498	dMS2 (12)		
FBbt:00053021	WUL008	1	2adl	17A T2		m-			M-	M-	m-		m-	a-						SS42442	SS42439, SS42498	dMS2 (12)		
FBbt:00053022	WUL009	1	2adl	17A T2		m-		d-	M-	M-	m-		m-	a-						SS42442	SS42439	dMS2 (12)		
FBbt:00053023	WUL010	1	2adl	17A T2		m-			M-	M-	m-		d-	a-							SS42498	dMS2 (12)		
FBbt:00053024	WUL011	1	2adl	17A T2		m-		d-	M-	M-	m-		m-	a-							SS42438	dMS2 (12)		
FBbt:00053025	WUL012	1	2adl	17A T2		m-			d-	M-	M-		m-	m-							SS42438, SS42439, SS47161, SS49766	dMS2 (12)		
FBbt:00053026	WUL013	1	2pdl	11B T2	m-				d-	M-	M-	m-		m-						SS48215				
FBbt:00053027	WUL014	1	2pdm	11B T2	m-	m-			d-	M-	M-	m-								SS48215				
FBbt:00053028	WUL015	1	1pvl	3B T1	d-					P-											SS48268			
FBbt:00053029	WUL016	1	1pvl	3B T1						M-											SS47192, SS48268			
FBbt:00053030	WUL017	1	2pvm	6B T2	-d				-m	-M	-d			-a						SS53421				
FBbt:00053031	XBI001	2	1pvm	5B T1		mm	MM	MM	MM			MM	MM						+		SS33489, SS60603			
FBbt:00053032	XBI002		2avm	0A T2			MM	dd	MM			MM	dd							SS42475, SS47200	SS48311			
FBbt:00053033	XBL001	1	2avm	emb					MM	MM		md	d-	mm					+	SS43546				
