ROI	FBbt_id	FBbt_name	notes
BU(R)	FBbt:00003682	bulb	
CA(L)	FBbt:00007385	calyx of adult mushroom body	
CA(R)	FBbt:00007385	calyx of adult mushroom body	
CAN(R)	FBbt:00045051	cantle	
CRE(-ROB,-RUB)(R)	FBbt:00045037	adult crepine	
CRE(-RUB)(L)	FBbt:00045037	adult crepine	
CRE(L)	FBbt:00045037	adult crepine	
CRE(R)	FBbt:00045037	adult crepine	
CX	FBbt:00003632	adult central complex	
dACA(R)	FBbt:00045007	mushroom body dorsal accessory calyx	
EB	FBbt:00003678	ellipsoid body	
EBr1	FBbt:00007555	ellipsoid body inner posterior domain	
EBr2r4	FBbt:00007556	ellipsoid body outer central domain	
EBr3am	FBbt:00007553	ellipsoid body inner central domain	
EBr3d	FBbt:00007553	ellipsoid body inner central domain	
EBr3pw	FBbt:00007555	ellipsoid body inner posterior domain	
EBr5	FBbt:00047034	ellipsoid body anterior domain	
EBr6	FBbt:00007554	ellipsoid body outer posterior domain	
EPA(L)	FBbt:00040040	epaulette	
EPA(R)	FBbt:00040040	epaulette	
FB	FBbt:00003679	fan-shaped body	
FB-column3	FBbt:00003679	fan-shaped body	not sure what ‘column3’ is
FBl1	FBbt:00007487	fan-shaped body layer 1	
FBl2	FBbt:00007488	fan-shaped body layer 2	
FBl3	FBbt:00007490	fan-shaped body layer 3	
FBl4	FBbt:00007491	fan-shaped body layer 4	
FBl5	FBbt:00007492	fan-shaped body layer 5	
FBl6	FBbt:00007493	fan-shaped body layer 6	
FBl7	FBbt:00110655	fan-shaped body layer 7	
FBl8	FBbt:00110656	fan-shaped body layer 8	
FBl9	FBbt:00047032	fan-shaped body layer 9	
FLA(R)	FBbt:00045050	flange	
g1(R)	FBbt:00100273	mushroom body gamma lobe slice 1	
g2(R)	FBbt:00100274	mushroom body gamma lobe slice 2	
g3(R)	FBbt:00100275	mushroom body gamma lobe slice 3	
g4(R)	FBbt:00100276	mushroom body gamma lobe slice 4	
g5(R)	FBbt:00100277	mushroom body gamma lobe slice 5	
GA(R)	FBbt:00040060	gall	
GC	FBbt:00007080	adult great commissure	
GF(R)	FBbt:00004020	giant fiber neuron	
gL(L)	FBbt:00013695	adult mushroom body gamma-lobe	
gL(R)	FBbt:00013695	adult mushroom body gamma-lobe	
GNG	FBbt:00014013	adult gnathal ganglion	
GOR(L)	FBbt:00040039	gorget	
GOR(R)	FBbt:00040039	gorget	
hemibrain	FBbt:00003624	adult brain	
IB	FBbt:00040050	inferior bridge	
ICL(L)	FBbt:00040049	inferior clamp	
ICL(R)	FBbt:00040049	inferior clamp	
INP	FBbt:00040037	inferior neuropils	
IPS(R)	FBbt:00045046	inferior posterior slope	
lACA(R)	FBbt:00048332	mushroom body lateral accessory calyx	
LAL(-GA)(R)	FBbt:00003681	adult lateral accessory lobe	
LAL(L)	FBbt:00003681	adult lateral accessory lobe	
LAL(R)	FBbt:00003681	adult lateral accessory lobe	
LH(R)	FBbt:00007053	adult lateral horn	
LO(R)	FBbt:00003852	lobula	
LOP(R)	FBbt:00003885	lobula plate	
LX(L)	FBbt:00040001	lateral complex	
LX(R)	FBbt:00040001	lateral complex	
mALT(L)	FBbt:00003985	adult medial antennal lobe tract	
mALT(R)	FBbt:00003985	adult medial antennal lobe tract	
MB(+ACA)(R)	FBbt:00003684	adult mushroom body	
MB(L)	FBbt:00003684	adult mushroom body	
MB(R)	FBbt:00003684	adult mushroom body	
ME(R)	FBbt:00003748	medulla	
NO(L)	FBbt:00003680	nodulus	
NO(R)	FBbt:00003680	nodulus	
NO1(L)	FBbt:00111052	nodulus 1	
NO1(R)	FBbt:00111052	nodulus 1	
NO2(L)	FBbt:00111053	nodulus 2	
NO2(R)	FBbt:00111053	nodulus 2	
NO3(L)	FBbt:00111054	nodulus 3	
NO3(R)	FBbt:00111054	nodulus 3	
OL(R)	FBbt:00003701	adult optic lobe	
PB	FBbt:00003668	protocerebral bridge	
PB(L1)	FBbt:00111511	protocerebral bridge slice 1	
PB(L2)	FBbt:00003670	protocerebral bridge slice 2	
PB(L3)	FBbt:00003671	protocerebral bridge slice 3	
PB(L4)	FBbt:00003672	protocerebral bridge slice 4	
PB(L5)	FBbt:00003673	protocerebral bridge slice 5	
PB(L6)	FBbt:00003674	protocerebral bridge slice 6	
PB(L7)	FBbt:00003675	protocerebral bridge slice 7	
PB(L8)	FBbt:00003676	protocerebral bridge slice 8	
PB(L9)	FBbt:00003677	protocerebral bridge slice 9	
PB(R1)	FBbt:00111511	protocerebral bridge slice 1	
PB(R2)	FBbt:00003670	protocerebral bridge slice 2	
