defined_class	defined_class_label	birth_notch	birth_notch_label	neuroblast	neuroblast_label	stage	stage_label	neurotransmitter	neurotransmitter_label	clone	clone_label	other_types	other_types_label
FBbt:00050192	adult FLAa1 lineage neuron	FBbt:00005106	neuron	FBbt:00100560	neuroblast BAla4	FBbt:00003004	adult			FBbt:00050191	adult FLAa1 lineage clone		
FBbt:00050195	adult SMPp&v1 lineage neuron	FBbt:00005106	neuron	FBbt:00100599	neuroblast DPLc5	FBbt:00003004	adult			FBbt:00050194	adult SMPp&v1 lineage clone		
FBbt:00050197	adult ALv1 lineage neuron	FBbt:00005106	neuron	FBbt:00067348	neuroblast ALv1	FBbt:00003004	adult			FBbt:00050196	adult ALv1 lineage clone		
FBbt:00050200	adult BLP2 lineage neuron	FBbt:00005106	neuron	FBbt:00100626	neuroblast BLP2	FBbt:00003004	adult			FBbt:00050199	adult BLP2 lineage clone		
FBbt:00050203	adult SMPad2 lineage neuron	FBbt:00005106	neuron	FBbt:00050201	neuroblast SMPad2	FBbt:00003004	adult			FBbt:00050202	adult SMPad2 lineage clone		
FBbt:00050206	adult CLp1 lineage neuron	FBbt:00005106	neuron	FBbt:00100598	neuroblast DPLc4	FBbt:00003004	adult			FBbt:00050205	adult CLp1 lineage clone		
FBbt:00050209	adult DPLl2 lineage neuron	FBbt:00005106	neuron	FBbt:00100601	neuroblast DPLl2	FBbt:00003004	adult			FBbt:00050208	adult DPLl2 lineage clone		
FBbt:00050212	adult VLPp2 lineage neuron	FBbt:00005106	neuron	FBbt:00100579	neuroblast DPMpl3	FBbt:00003004	adult			FBbt:00050211	adult VLPp2 lineage clone		
FBbt:00050215	adult PSp1 lineage neuron	FBbt:00005106	neuron	FBbt:00050213	neuroblast PSp1	FBbt:00003004	adult			FBbt:00050214	adult PSp1 lineage clone		
FBbt:00050218	adult SLPpm2 lineage neuron	FBbt:00005106	neuron	FBbt:00100596	neuroblast DPLc2	FBbt:00003004	adult			FBbt:00050217	adult SLPpm2 lineage clone		
FBbt:00050221	adult DPLal1 lineage neuron	FBbt:00005106	neuron	FBbt:00100591	neuroblast DPLal1	FBbt:00003004	adult			FBbt:00050220	adult DPLal1 lineage clone		
FBbt:00050224	adult DALcm2 lineage neuron	FBbt:00005106	neuron	FBbt:00100549	neuroblast DALcm2	FBbt:00003004	adult			FBbt:00050223	adult DALcm2 lineage clone		
FBbt:00050227	adult BLAv2 lineage neuron	FBbt:00005106	neuron	FBbt:00100613	neuroblast BLAv2	FBbt:00003004	adult			FBbt:00050226	adult BLAv2 lineage clone		
FBbt:00050230	adult DPLl1 lineage neuron	FBbt:00005106	neuron	FBbt:00100600	neuroblast DPLl1	FBbt:00003004	adult			FBbt:00050229	adult DPLl1 lineage clone		
FBbt:00050233	adult VLPd1 lineage neuron	FBbt:00005106	neuron	FBbt:00100590	neuroblast DPLam	FBbt:00003004	adult			FBbt:00050232	adult VLPd1 lineage clone		
FBbt:00050236	adult SLPp&v1 lineage neuron	FBbt:00005106	neuron	FBbt:00100604	neuroblast DPLp2	FBbt:00003004	adult			FBbt:00050235	adult SLPp&v1 lineage clone		
FBbt:00050239	adult SLPav2 lineage neuron	FBbt:00005106	neuron	FBbt:00100621	neuroblast BLD2	FBbt:00003004	adult			FBbt:00050238	adult SLPav2 lineage clone		
FBbt:00050242	adult DALd lineage neuron	FBbt:00005106	neuron	FBbt:00100550	neuroblast DALd	FBbt:00003004	adult			FBbt:00050241	adult DALd lineage clone		
FBbt:00050245	adult SMPad1 (male) lineage neuron	FBbt:00005106	neuron	FBbt:00050243	neuroblast SMPad1 (male)	FBbt:00003004	adult			FBbt:00050244	adult SMPad1 (male) lineage clone		
FBbt:00050248	adult CREa1 (male) lineage neuron	FBbt:00005106	neuron	FBbt:00050246	neuroblast CREa1 (male)	FBbt:00003004	adult			FBbt:00050247	adult CREa1 (male) lineage clone		
FBbt:00050251	adult VPNp1 lineage neuron	FBbt:00005106	neuron	FBbt:00050249	neuroblast VPNp1	FBbt:00003004	adult			FBbt:00050250	adult VPNp1 lineage clone		
FBbt:00050254	adult DM4 lineage neuron	FBbt:00005106	neuron	FBbt:00050252	neuroblast DM4	FBbt:00003004	adult			FBbt:00050253	adult DM4 lineage clone		
FBbt:00050257	adult LHl3 lineage neuron	FBbt:00005106	neuron	FBbt:00050255	neuroblast LHl3	FBbt:00003004	adult			FBbt:00050256	adult LHl3 lineage clone		
