defined_class	defined_class_label	precursor_type	precursor_type_label	develops_into_entity	develops_into_entity_label	develops_from_entity	develops_from_entity_label
FBbt:00110805	presumptive metathoracic tarsal segment 2	FBbt:00005426	anlage	FBbt:00004715	metathoracic tarsal segment 2		
FBbt:00110806	presumptive metathoracic tarsal segment 3	FBbt:00005426	anlage	FBbt:00004716	metathoracic tarsal segment 3		
FBbt:00110807	presumptive metathoracic tarsal segment 5	FBbt:00005426	anlage	FBbt:00004718	metathoracic tarsal segment 5		
FBbt:00110808	presumptive metathoracic tarsal segment 4	FBbt:00005426	anlage	FBbt:00004717	metathoracic tarsal segment 4		
FBbt:00110809	presumptive metathoracic unguis	FBbt:00005426	anlage	FBbt:00004726	metathoracic unguis		
FBbt:00110811	presumptive arista	FBbt:00005426	anlage	FBbt:00004519	arista		
FBbt:00110812	presumptive first segment of antenna	FBbt:00005426	anlage	FBbt:00004513	first segment of antenna		
FBbt:00110813	presumptive second segment of antenna	FBbt:00005426	anlage	FBbt:00004514	second segment of antenna		
FBbt:00110814	presumptive third segment of antenna	FBbt:00005426	anlage	FBbt:00004515	third segment of antenna		
FBbt:00110815	presumptive postoccipital trichoid sensillum	FBbt:00005426	anlage	FBbt:00004166	postoccipital trichoid sensillum		
FBbt:00110816	presumptive maxillary palp	FBbt:00005426	anlage	FBbt:00004546	maxillary palp		
FBbt:00110817	presumptive distal rostral sensillum	FBbt:00005426	anlage	FBbt:00004168	distal rostral sensillum		
FBbt:00110818	presumptive proximal rostral sensillum	FBbt:00005426	anlage	FBbt:00004169	proximal rostral sensillum		
FBbt:00110819	presumptive sacculus	FBbt:00005426	anlage	FBbt:00004179	sacculus		
FBbt:00110821	presumptive posterior tooth bristle of antennal segment 2	FBbt:00005426	anlage	FBbt:00110820	posterior tooth bristle of antennal segment 2		
FBbt:00110823	presumptive large anterior bristle of antennal segment 2	FBbt:00005426	anlage	FBbt:00110822	large anterior bristle of antennal segment 2		
FBbt:00110825	presumptive small anterior bristle of antennal segment 2	FBbt:00005426	anlage	FBbt:00110824	small anterior bristle of antennal segment 2		
FBbt:00110828	presumptive dorsal lateral bristle of antennal segment 1	FBbt:00005426	anlage	FBbt:00110827	dorsal lateral bristle of antennal segment 1		
FBbt:00110830	presumptive dorsal medial bristle of antennal segment 1	FBbt:00005426	anlage	FBbt:00110829	dorsal medial bristle of antennal segment 1		
FBbt:00110831	presumptive supracervical bristle	FBbt:00005426	anlage	FBbt:00004120	supracervical bristle		
FBbt:00110832	presumptive ptilinum	FBbt:00005426	anlage	FBbt:00004483	ptilinum		
FBbt:00110833	presumptive postgenal sensillum	FBbt:00005426	anlage	FBbt:00004170	postgenal trichoid sensillum		
FBbt:00110834	presumptive ventral postgenal bristle	FBbt:00005426	anlage	FBbt:00004132	ventral postgenal bristle		
FBbt:00110836	presumptive shingle cuticle of lateral ptilinum	FBbt:00005426	anlage	FBbt:00110835	shingle cuticle of lateral ptilinum		
FBbt:00110837	presumptive frontal bristle	FBbt:00005426	anlage	FBbt:00004124	frontal bristle		
FBbt:00110838	presumptive fronto-orbital bristle	FBbt:00005426	anlage	FBbt:00004125	fronto-orbital bristle		
FBbt:00110839	presumptive orbital bristle	FBbt:00005426	anlage	FBbt:00004116	orbital bristle		
FBbt:00110840	presumptive ocellar bristle	FBbt:00005426	anlage	FBbt:00004128	ocellar bristle		
FBbt:00110841	presumptive vertical bristle	FBbt:00005426	anlage	FBbt:00004121	vertical bristle		
FBbt:00110842	presumptive postvertical bristle	FBbt:00005426	anlage	FBbt:00004126	postocellar bristle		
FBbt:00110843	presumptive interocellar bristle	FBbt:00005426	anlage	FBbt:00004129	interocellar bristle		
FBbt:00110844	presumptive ocellus	FBbt:00005426	anlage	FBbt:00004505	ocellus		
FBbt:00110845	presumptive premandibular bristle	FBbt:00005426	anlage	FBbt:00004134	premandibular bristle		
FBbt:00110846	presumptive premandibular suture	FBbt:00005426	anlage	FBbt:00004497	premandibular suture		
FBbt:00110847	presumptive vibrissal bristle	FBbt:00005426	anlage	FBbt:00004130	vibrissal bristle		
FBbt:00110848	presumptive postorbital bristle	FBbt:00005426	anlage	FBbt:00004127	postorbital bristle		
FBbt:00111205	embryonic/larval anterior optic tubercle primordial	FBbt:00005495	primordium	FBbt:00007059	anterior optic tubercle		
FBbt:00111206	embryonic/larval protocerebral bridge - primordial	FBbt:00005495	primordium	FBbt:00003668	protocerebral bridge		
FBbt:00111207	embryonic/larval fan-shaped body - primordial	FBbt:00005495	primordium	FBbt:00003679|FBbt:00051445	fan-shaped body|posterior ellipsoid body primordium		
FBbt:01000119	anterior ectoderm anlage	FBbt:00005426	anlage	FBbt:00000119	anterior ectoderm		
FBbt:01000122	posterior ectoderm anlage	FBbt:00005426	anlage	FBbt:00000122	posterior ectoderm		
FBbt:10005249	embryonic primordium of adult eye	FBbt:00005495	primordium	FBbt:00001768	eye disc	FBbt:00001059	visual primordium
FBbt:10005329	posterior midgut primordium	FBbt:00005495	primordium	FBbt:00017014|FBbt:00007646|FBbt:00005451|FBbt:00005452	embryonic primordium of adult posterior midgut|posterior fused midgut primordium|copper cell primordium|midgut interstitial cell primordium	FBbt:00005560	posterior endoderm
FBbt:10005336	esophageal visceral muscle primordium	FBbt:00005495	primordium	FBbt:10005369	esophageal visceral muscle	FBbt:00053167	
