defined_class	defined_class_label	neuroblast	neuroblast_label	cluster	cluster_label	sex	sex_label	neuron	neuron_label	fruitless	soma_location	soma_location_label
FBbt:00110479	adult fruitless pIP-a (female) neuron	FBbt:00100610	neuroblast CP3	FBbt:00110478	adult fruitless pIP-a (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110481	adult fruitless pIP-b neuron	FBbt:00050249	neuroblast VPNp1	FBbt:00110480	adult fruitless pIP-b lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100201	adult lateral brain cell body rind
FBbt:00110483	adult fruitless pIP-c neuron	FBbt:00100626	neuroblast BLP2	FBbt:00110482	adult fruitless pIP-c lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100201	adult lateral brain cell body rind
FBbt:00110485	adult fruitless pIP-d neuron	FBbt:00110383	neuroblast VPNd2	FBbt:00110484	adult fruitless pIP-d lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100201	adult lateral brain cell body rind
FBbt:00110487	adult fruitless pIP-e (female) neuron	FBbt:00100609	neuroblast CP2	FBbt:00110486	adult fruitless pIP-e (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110489	adult fruitless pIP-f neuron			FBbt:00110488	adult fruitless pIP-f lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100213	cell body rind of adult inferior neuropils
FBbt:00110491	adult fruitless pIP-g neuron	FBbt:00050059	neuroblast DM5	FBbt:00110490	adult fruitless pIP-g lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110493	adult fruitless pIP-h (female) neuron	FBbt:00052687	DM6 secondary intermediate neural progenitor 1	FBbt:00110492	adult fruitless pIP-h (female) lineage clone	FBbt:00007011	female organism	FBbt:00110509	adult fruitless pMP-f (female) neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110495	adult fruitless pIP-i neuron			FBbt:00110494	adult fruitless pIP-i lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100213	cell body rind of adult inferior neuropils
FBbt:00110497	adult fruitless pIP-j neuron	FBbt:00052688	DM5 secondary intermediate neural progenitor 1	FBbt:00110496	adult fruitless pIP-j lineage clone			FBbt:00110491	adult fruitless pIP-g neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100213	cell body rind of adult inferior neuropils
