defined_class	class_label	muscle
FBbt:00003370	muscle cell of lateral oblique dorsal muscle 46a	FBbt:00058891
FBbt:00003393	mesothoracic pleurosternal muscle cell	FBbt:00058914
FBbt:00003395	muscle cell of mesothoracic pleurosternal muscle 60	FBbt:00058916
FBbt:00003394	muscle cell of mesothoracic pleurosternal muscle 59	FBbt:00058915
FBbt:00003362	dorsal medial indirect flight muscle cell	FBbt:00058883
FBbt:00003367	muscle cell of dorsal medial muscle 45e	FBbt:00058888
FBbt:00003364	muscle cell of dorsal medial muscle 45b	FBbt:00058885
FBbt:00003366	muscle cell of dorsal medial muscle 45d	FBbt:00058887
FBbt:00003368	muscle cell of dorsal medial muscle 45f	FBbt:00058889
FBbt:00003363	muscle cell of dorsal medial muscle 45a	FBbt:00058884
FBbt:00003365	muscle cell of dorsal medial muscle 45c	FBbt:00058886
FBbt:00003306	promotor muscle cell	FBbt:00058829
FBbt:00003335	prothoracic promotor muscle cell	FBbt:00058857
FBbt:00003338	muscle cell of prothoracic pleural promotor muscle 30	FBbt:00058860
FBbt:00003336	muscle cell of prothoracic tergopleural promotor muscle 28	FBbt:00058858
FBbt:00003309	pleural promotor muscle cell	FBbt:00058832
FBbt:00003308	sternal promotor muscle cell	FBbt:00058831
FBbt:00003307	tergopleural promotor muscle cell	FBbt:00058830
FBbt:00003318	somatic muscle cell of leg	FBbt:00058841
FBbt:00003331	reductor muscle cell	FBbt:00058854
FBbt:00058113	tarsal reductor muscle cell	FBbt:00059105
FBbt:00058116	prothoracic tarsal reductor muscle cell	FBbt:00059108
FBbt:00058122	prothoracic posterior tarsal reductor muscle cell	FBbt:00059114
FBbt:00058119	prothoracic anterior tarsal reductor muscle cell	FBbt:00059111
FBbt:00058115	anterior tarsal reductor muscle cell	FBbt:00059107
FBbt:00058114	posterior tarsal reductor muscle cell	FBbt:00059106
FBbt:00058109	tibial reductor muscle cell	FBbt:00059104
FBbt:00003349	prothoracic tibial reductor muscle cell	FBbt:00058871
FBbt:00058101	trochanter reductor muscle cell	FBbt:00059096
FBbt:00058102	prothoracic trochanter reductor muscle cell	FBbt:00059097
FBbt:00003357	prothoracic reductor muscle cell	FBbt:00058878
FBbt:00003358	muscle cell of prothoracic femoral reductor muscle 38	FBbt:00058879
FBbt:00003332	femoral reductor muscle cell	FBbt:00058855
FBbt:00003325	levator muscle cell	FBbt:00058848
FBbt:00003352	prothoracic levator muscle cell	FBbt:00058873
FBbt:00003356	muscle cell of prothoracic tarsal levator muscle 42	FBbt:00058877
FBbt:00003355	muscle cell of prothoracic tibial levator muscle 39	FBbt:00058876
FBbt:00003354	muscle cell of prothoracic intracoxal mesal levator muscle 37	FBbt:00058875
FBbt:00003353	muscle cell of prothoracic intracoxal lateral levator muscle 36	FBbt:00058874
FBbt:00003330	tarsal levator muscle cell	FBbt:00058853
FBbt:00003329	tibial levator muscle cell	FBbt:00058852
FBbt:00003326	intracoxal levator muscle cell	FBbt:00058849
FBbt:00003328	intracoxal mesal levator muscle cell	FBbt:00058851
FBbt:00003327	intracoxal lateral levator muscle cell	FBbt:00058850
FBbt:00003343	somatic muscle cell of prothoracic leg	FBbt:00058865
FBbt:00003344	prothoracic depressor muscle cell	FBbt:00058866
FBbt:00058127	prothoracic pretarsal depressor muscle cell	FBbt:00059119
FBbt:00058133	prothoracic proximal pretarsal depressor muscle cell	FBbt:00059125
FBbt:00058130	prothoracic distal pretarsal depressor muscle cell	FBbt:00059122
FBbt:00058106	prothoracic femoral depressor muscle cell	FBbt:00059101
FBbt:00003350	muscle cell of prothoracic tarsal depressor muscle 43	FBbt:00058872
FBbt:00003347	prothoracic tibial depressor muscle cell	FBbt:00058869
FBbt:00003348	muscle cell of prothoracic tibial depressor muscle 40	FBbt:00058870
FBbt:00003346	muscle cell of prothoracic intracoxal depressor muscle 35	FBbt:00058868
FBbt:00003345	muscle cell of prothoracic extracoxal depressor muscle 34	FBbt:00058867
FBbt:00003319	depressor muscle cell	FBbt:00058842
FBbt:00003323	tarsal depressor muscle cell	FBbt:00058846
FBbt:00003321	intracoxal depressor muscle cell	FBbt:00058844
FBbt:00058105	femoral depressor muscle cell	FBbt:00059100
FBbt:00003324	pretarsal depressor muscle cell	FBbt:00058847
FBbt:00058126	distal pretarsal depressor muscle cell	FBbt:00059118
FBbt:00058125	proximal pretarsal depressor muscle cell	FBbt:00059117
FBbt:00003322	tibial depressor muscle cell	FBbt:00058845
FBbt:00003320	extracoxal depressor muscle cell	FBbt:00058843
FBbt:00003334	somatic muscle cell of prothorax	FBbt:00058856
FBbt:00003339	prothoracic sternal muscle cell	FBbt:00058861
FBbt:00003342	muscle cell of prothoracic sternal adductor muscle 33	FBbt:00058864
FBbt:00003293	somatic muscle cell of neck	FBbt:00058816
FBbt:00003301	ventral cervical muscle cell	FBbt:00058824
FBbt:00003304	muscle cell of ventral cervical muscle 27	FBbt:00058827
FBbt:00003303	muscle cell of ventral cervical muscle 26	FBbt:00058826
FBbt:00003302	muscle cell of ventral cervical muscle 25	FBbt:00058825
FBbt:00003299	lateral cervical muscle cell	FBbt:00058822
FBbt:00003300	muscle cell of lateral cervical muscle 24	FBbt:00058823
FBbt:00003294	dorsal cervical muscle cell	FBbt:00058817
FBbt:00003298	muscle cell of dorsal cervical muscle 23	FBbt:00058821
FBbt:00003297	muscle cell of dorsal cervical muscle 22	FBbt:00058820
FBbt:00003296	muscle cell dorsal cervical muscle 21	FBbt:00058819
FBbt:00003295	muscle cell of dorsal cervical muscle 20	FBbt:00058818
FBbt:00003317	adductor muscle cell	FBbt:00058840
FBbt:00003260	somatic muscle cell of head	FBbt:00058785
