defined_class	defined_class_label	parent	parent_label	stage	stage_label	partonomy	partonomy_label	def_xrefs
FBbt:00015407	vertical lobe of adult mushroom body	FBbt:00005407	mushroom body vertical lobe	FBbt:00003004	adult	FBbt:00013688	lobe system of adult mushroom body	
FBbt:00047095	adult neuron	FBbt:00005106	neuron	FBbt:00003004	adult	FBbt:00003559	adult nervous system	
FBbt:00047099	adult lower segment of Malpighian tubule	FBbt:00047098	lower segment of Malpighian tubule	FBbt:00003004	adult	FBbt:00049469	adult stem cell zone of Malpighian tubule	
FBbt:00047101	embryonic/larval lower segment of Malpighian tubule	FBbt:00047098	lower segment of Malpighian tubule	FBbt:00001727	larva	FBbt:00001896	embryonic/larval Malpighian tubule	
FBbt:00047147	adult enterocyte	FBbt:00007042	enterocyte	FBbt:00003004	adult	FBbt:00007513	adult gut	
FBbt:00047148	larval enterocyte	FBbt:00007042	enterocyte	FBbt:00001727	larva	FBbt:00007512	embryonic/larval gut	
FBbt:00047149	adult enteroendocrine cell	FBbt:00007038	enteroendocrine cell	FBbt:00003004	adult	FBbt:00007026	adult midgut epithelium	
FBbt:00047150	larval enteroendocrine cell	FBbt:00007038	enteroendocrine cell	FBbt:00001727	larva	FBbt:00047151	larval midgut epithelium	
FBbt:00047151	larval midgut epithelium	FBbt:00047109	midgut epithelium	FBbt:00001727	larva	FBbt:00001882	embryonic/larval midgut	
FBbt:00047159	embryonic/larval pylorus	FBbt:00047158	pylorus	FBbt:00001727	larva	FBbt:00001891	embryonic/larval hindgut	
FBbt:00047179	adult hindgut enterocyte	FBbt:00047178	hindgut enterocyte	FBbt:00003004	adult	FBbt:00047168	adult hindgut epithelium	
FBbt:00047180	embryonic/larval hindgut enterocyte	FBbt:00047178	hindgut enterocyte	FBbt:00001727	larva	FBbt:00047169	embryonic/larval hindgut epithelium	
FBbt:00047181	larval midgut enterocyte	FBbt:00047177	midgut enterocyte	FBbt:00001727	larva	FBbt:00047151	larval midgut epithelium	
FBbt:00047182	adult midgut enterocyte	FBbt:00047177	midgut enterocyte	FBbt:00003004	adult	FBbt:00007026	adult midgut epithelium	
FBbt:00047230	embryonic/larval Ilp7 neuron	FBbt:00047229	Ilp7 neuron	FBbt:00001727	larva	FBbt:00001911	larval nervous system	
FBbt:00047231	adult Ilp7 neuron	FBbt:00047229	Ilp7 neuron	FBbt:00003004	adult	FBbt:00003559	adult nervous system	
FBbt:00047357	adult abdominal nerve	FBbt:00002179	abdominal nerve	FBbt:00003004	adult	FBbt:00003023|FBbt:00005892	adult abdomen|adult peripheral nervous system	
FBbt:00047362	larval abdominal nerve	FBbt:00002179	abdominal nerve	FBbt:00001727	larva	FBbt:00001746|FBbt:00005893	larval abdomen|larval peripheral nervous system	
FBbt:00047734	larval visual projection interneuron	FBbt:00048287	visual projection neuron	FBbt:00001727	larva	FBbt:00001920	larval brain	
FBbt:00047837	embryonic/larval ensheathing glial cell	FBbt:00047836	ensheathing glial cell	FBbt:00001727	larva	FBbt:00001919	larval central nervous system	
FBbt:00047840	embryonic/larval astrocyte-like glial cell	FBbt:00100505	astrocyte-like glial cell	FBbt:00001727	larva	FBbt:00001919	larval central nervous system	
FBbt:00047841	adult astrocyte-like glial cell	FBbt:00100505	astrocyte-like glial cell	FBbt:00003004	adult	FBbt:00003623	adult central nervous system	
