defined_class	defined_class_label	parent	parent_label	defining_detection	defining_detection_label	defining_perception	defining_perception_label	location	location_label	other_detection	other_detection_label	other_perception	other_perception_label	other_detection_copo	other_detection_copo_label	other_perception_copo	other_perception_copo_label
FBbt:00100002	sound activated Johnston organ neuron	FBbt:00111644	Johnston organ neuron activated by antennal displacement	GO:0050982	detection of mechanical stimulus	GO:0007605	sensory perception of sound										
FBbt:00100004	wind sensitive Johnston organ neuron	FBbt:00100012	Johnston organ neuron tonically activated by arista deflection	GO:0050982	detection of mechanical stimulus	GO:0071063	sensory perception of wind										
FBbt:00100008	zone A Johnston organ neuron									GO:0050982	detection of mechanical stimulus	GO:0007605	sensory perception of sound				
FBbt:00100009	zone B Johnston organ neuron									GO:0050982	detection of mechanical stimulus	GO:0007605	sensory perception of sound				
FBbt:00100010	zone C Johnston organ neuron									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00100020	zone D Johnston organ neuron									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00100021	zone E Johnston organ neuron									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00100043	low salt-sensing neuron of labellar taste bristle									GO:0009593	detection of chemical stimulus	GO:0050914	sensory perception of salty taste				
FBbt:00100044	high salt/bitter-sensing neuron									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00100045	carbon dioxide sensitive neuron	FBbt:00005106	neuron	GO:0003031	detection of carbon dioxide	GO:0007600	sensory perception										
FBbt:00100103	chemosensory dorsal triple row bristle									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00100108	chemosensory ventral double row bristle									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00100108	chemosensory ventral double row bristle									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00100109	mechanosensory ventral double row bristle									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00100150	mechanosensory medial triple row bristle									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00100191	chemosensory dorsal double row bristle									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00100192	mechanosensory dorsal double row bristle									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00111303	adult sex peptide sensory neuron									GO:0051606	detection of stimulus	GO:0007600	sensory perception				
FBbt:00111617	prothoracic leg tarsal taste bristle	FBbt:00005177	chaeta	GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste	FBbt:00004668	prothoracic tarsal segment								
FBbt:00111618	mesothoracic leg tarsal taste bristle	FBbt:00005177	chaeta	GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste	FBbt:00004690	mesothoracic tarsal segment								
FBbt:00111619	metathoracic leg tarsal taste bristle	FBbt:00005177	chaeta	GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste	FBbt:00004712	metathoracic tarsal segment								
