defined_class	defined_class_label	parent	parent_label	soma_loc	soma_loc_label
FBbt:00053070	prothoracic tarsal depressor muscle motor neuron	FBbt:00053137	tarsal depressor muscle motor neuron	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00053104	prothoracic pleural remotor and abductor muscle motor neuron	FBbt:00053149	pleural remotor motor neuron	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00053114	prothoracic accessory trochanter levator muscle motor neuron	FBbt:00053077	accessory trochanter levator muscle motor neuron	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00053115	mesothoracic accessory trochanter levator muscle motor neuron	FBbt:00053077	accessory trochanter levator muscle motor neuron	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00053116	metathoracic accessory trochanter levator muscle motor neuron	FBbt:00053077	accessory trochanter levator muscle motor neuron	FBbt:00111085	cell body rind of adult metathoracic neuromere
FBbt:00053117	prothoracic femoral reductor muscle motor neuron	FBbt:00053075	femoral reductor muscle motor neuron	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00053118	mesothoracic femoral reductor muscle motor neuron	FBbt:00053075	femoral reductor muscle motor neuron	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00053119	metathoracic femoral reductor muscle motor neuron	FBbt:00053075	femoral reductor muscle motor neuron	FBbt:00111085	cell body rind of adult metathoracic neuromere
FBbt:00053121	prothoracic tibial levator muscle motor neuron	FBbt:00053074	tibial levator muscle motor neuron	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00053122	mesothoracic tibial levator muscle motor neuron	FBbt:00053074	tibial levator muscle motor neuron	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00053123	metathoracic tibial levator muscle motor neuron	FBbt:00053074	tibial levator muscle motor neuron	FBbt:00111085	cell body rind of adult metathoracic neuromere
FBbt:00053124	prothoracic fast tibial extensor motor neuron	FBbt:00053120	fast tibial extensor motor neuron	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00053125	mesothoracic fast tibial extensor motor neuron	FBbt:00053120	fast tibial extensor motor neuron	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00053126	metathoracic fast tibial extensor motor neuron	FBbt:00053120	fast tibial extensor motor neuron	FBbt:00111085	cell body rind of adult metathoracic neuromere
FBbt:00053127	prothoracic slow tibial extensor motor neuron	FBbt:00053065	slow tibial extensor motor neuron	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00053128	mesothoracic slow tibial extensor motor neuron	FBbt:00053065	slow tibial extensor motor neuron	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00053129	metathoracic slow tibial extensor motor neuron	FBbt:00053065	slow tibial extensor motor neuron	FBbt:00111085	cell body rind of adult metathoracic neuromere
FBbt:00053130	prothoracic tibial depressor motor neuron	FBbt:00052588	tibial depressor motor neuron	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00053131	mesothoracic tibial depressor motor neuron	FBbt:00052588	tibial depressor motor neuron	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00053132	metathoracic tibial depressor motor neuron	FBbt:00052588	tibial depressor motor neuron	FBbt:00111085	cell body rind of adult metathoracic neuromere
FBbt:00053133	prothoracic accessory tibial flexor motor neuron	FBbt:00053073	accessory tibial flexor motor neuron	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00053134	mesothoracic accessory tibial flexor motor neuron	FBbt:00053073	accessory tibial flexor motor neuron	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00053135	metathoracic accessory tibial flexor motor neuron	FBbt:00053073	accessory tibial flexor motor neuron	FBbt:00111085	cell body rind of adult metathoracic neuromere
FBbt:00053139	mesothoracic tarsal retro depressor muscle motor neuron	FBbt:00053136	tarsal retro depressor muscle motor neuron	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00053140	metathoracic tarsal retro depressor muscle motor neuron	FBbt:00053136	tarsal retro depressor muscle motor neuron	FBbt:00111085	cell body rind of adult metathoracic neuromere
FBbt:00053141	mesothoracic tarsal levator muscle motor neuron	FBbt:00053138	tarsal levator muscle motor neuron	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00053142	metathoracic tarsal levator muscle motor neuron	FBbt:00053138	tarsal levator muscle motor neuron	FBbt:00111085	cell body rind of adult metathoracic neuromere
FBbt:00053143	mesothoracic tarsal depressor muscle motor neuron	FBbt:00053137	tarsal depressor muscle motor neuron	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00053144	metathoracic tarsal depressor muscle motor neuron	FBbt:00053137	tarsal depressor muscle motor neuron	FBbt:00111085	cell body rind of adult metathoracic neuromere
FBbt:00053145	mesothoracic tibial pretarsal depressor muscle motor neuron	FBbt:00053061	tibial pretarsal depressor muscle motor neuron	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00053146	metathoracic tibial pretarsal depressor muscle motor neuron	FBbt:00053061	tibial pretarsal depressor muscle motor neuron	FBbt:00111085	cell body rind of adult metathoracic neuromere
FBbt:00053147	mesothoracic femoral pretarsal depressor muscle motor neuron	FBbt:00053062	femoral pretarsal depressor muscle motor neuron	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00053148	metathoracic femoral pretarsal depressor muscle motor neuron	FBbt:00053062	femoral pretarsal depressor muscle motor neuron	FBbt:00111085	cell body rind of adult metathoracic neuromere
FBbt:00053150	mesothoracic pleural remotor muscle motor neuron	FBbt:00053149	pleural remotor motor neuron	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00053151	metathoracic pleural remotor muscle motor neuron	FBbt:00053149	pleural remotor motor neuron	FBbt:00111085	cell body rind of adult metathoracic neuromere
FBbt:00053153	mesothoracic extracoxal trochanter depressor muscle motor neuron	FBbt:00053152	extracoxal trochanter depressor muscle motor neuron	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00053154	metathoracic extracoxal trochanter depressor muscle motor neuron	FBbt:00053152	extracoxal trochanter depressor muscle motor neuron	FBbt:00111085	cell body rind of adult metathoracic neuromere
FBbt:00053157	prothoracic intracoxal trochanter depressor muscle motor neuron	FBbt:00053078	intracoxal trochanter depressor muscle motor neuron	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00053158	mesothoracic intracoxal trochanter depressor muscle motor neuron	FBbt:00053078	intracoxal trochanter depressor muscle motor neuron	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00053159	metathoracic intracoxal trochanter depressor muscle motor neuron	FBbt:00053078	intracoxal trochanter depressor muscle motor neuron	FBbt:00111085	cell body rind of adult metathoracic neuromere
FBbt:00053160	prothoracic intracoxal trochanter levator muscle motor neuron	FBbt:00053068	intracoxal trochanter levator muscle motor neuron	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00053161	mesothoracic intracoxal trochanter levator muscle motor neuron	FBbt:00053068	intracoxal trochanter levator muscle motor neuron	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00053162	metathoracic intracoxal trochanter levator muscle motor neuron	FBbt:00053068	intracoxal trochanter levator muscle motor neuron	FBbt:00111085	cell body rind of adult metathoracic neuromere
FBbt:00059271	CNS neuron	FBbt:00005106	neuron	FBbt:00005094	central nervous system
FBbt:00059272	PNS neuron	FBbt:00005106	neuron	FBbt:00005098	peripheral nervous system
FBbt:00100358	serotonergic SE neuron	FBbt:00005133	serotonergic neuron	FBbt:00051068	subesophageal zone
FBbt:00100360	serotonergic thoracic neuron	FBbt:00005133	serotonergic neuron	FBbt:00111026	thoracic neuromere
FBbt:00100535	dMP2 Ilp7 neuron of abdominal segment 6	FBbt:00100534	larval dMP2 Ilp7 neuron	FBbt:00051995	cell body rind of larval abdominal 6 neuromere
FBbt:00100536	dMP2 Ilp7 neuron of abdominal segment 7	FBbt:00100534	larval dMP2 Ilp7 neuron	FBbt:00051996	cell body rind of larval abdominal 7 neuromere
FBbt:00100537	dMP2 Ilp7 neuron of abdominal segment 8	FBbt:00100534	larval dMP2 Ilp7 neuron	FBbt:00051997	cell body rind of larval abdominal 8 neuromere
