root_id,UMAP1,UMAP2,root_626,supervoxel_id,position,side,region,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,super_cluster,cns_network
720575941668397735,24.103362102313643,13.80876218086157,720575941668397735,76071705503987313,"117692, 92500, 2659",left,neck_connective,ascending,10B,NA,NA,AN10B060,AN_AVLP_51,AN10B060,proprioceptive,CNS_05
720575941668463347,30.73213483790934,-2.0463853001030863,720575941668463347,76142074247942116,"119638, 92500, 2580",left,neck_connective,ascending,05B,NA,NA,AN05B102,AN_AVLP_PVLP_5,AN05B102,feeding,CNS_05
720575941439151378,16.7876043508488,-27.531853091660405,720575941439151378,76423549291663110,"126993, 92500, 2878",left,neck_connective,ascending,27X,NA,NA,AN27X017,AN_PRW_FLA_1,AN27X017,visceral control,CNS_06
720575941668465319,-17.625224094585768,10.407443630751713,720575941668465319,76212443059298713,"122435, 92500, 2850",right,neck_connective,descending,LB7,NA,NA,DNge111,DNge111,DNxn144,flight steering 2,CNS_04
720575941668481779,17.079985637469893,-14.891115558091062,720575941668481779,76071705504119769,"117490, 92500, 2703",right,neck_connective,ascending,TBD,NA,NA,ANXXX074,AN_multi_23,ANXXX074,reproduction,CNS_03
720575941668513011,6.412343520923263,2.571515905913454,720575941668513011,76212443059713921,"122297, 92500, 3007",right,neck_connective,descending,putative_primary,NA,NA,DNp11,DNp11,DNp11,threat response,CNS_02
720575941668526067,9.731357593341473,4.463425743636233,720575941668526067,76071705504108242,"118324, 92500, 2696",left,neck_connective,ascending,08B,NA,NA,AN08B009,AN_GNG_165,AN08B009,threat response,CNS_02
720575941668649971,20.05315305690349,11.663614857253176,720575941668649971,76285423076684566,"124688, 171056, 2797",right,ventral_nerve_cord,ascending,10B,NA,NA,AN10B046,auto:AN_GNG_165,AN10B046,proprioceptive,CNS_02
720575941668758449,-25.97500703831135,13.225732433852299,720575941668758449,76353180548122734,"125133, 92500, 3009",left,neck_connective,ascending,11B,NA,NA,AN11B012,AN_4_None,AN11B012,flight steering 1,CNS_01
720575941668844209,2.0797288606602,-13.103699099961181,720575941668844209,76212442992883288,"122009, 92500, 2812",right,neck_connective,ascending,07B,NA,NA,AN07B013,AN_GNG_158,AN07B013,walking steering,CNS_02
720575941668914609,-19.72818849583089,13.641225445326903,720575941668914609,76212443059293056,"122287,92500,2851",right,neck_connective,descending,LB7,NA,NA,DNge145,DNge145,DNxn116,flight steering 2,CNS_01
720575941573992776,-6.057221870617266,-10.719666850510496,720575941573992776,76282811736373343,"124762, 92500, 2665",right,neck_connective,ascending,12B,NA,NA,AN12B008,AN_GNG_155,AN12B008,probing,CNS_02
720575941669726129,18.315344829364424,-4.9613298296364725,720575941669726129,76071705503613933,"118473, 92500, 2560",left,neck_connective,descending,LB23,NA,NA,DNg85,DNg85,DNg85,tactile,CNS_02
720575941669801905,-9.404132824138996,-15.504236590805908,720575941669801905,76353180480430350,"125821, 92500, 2718",right,neck_connective,descending,LB7__prim,NA,NA,DNg54,DNg54,DNg54,probing,CNS_06
720575941580594677,-3.6362721731227583,-11.188384425583738,720575941580594677,76001336759547666,"115833, 92500, 2570",left,neck_connective,ascending,12B,NA,NA,AN12B017,AN_GNG_VES_6,AN12B017,probing,CNS_02
720575941669856945,0.1651135275799086,-2.201236736718077,720575941669856945,75930968015367057,"113568, 92500, 2676",left,neck_connective,ascending,03B,NA,NA,AN03B009,AN_GNG_12,AN03B009,walking,CNS_02
720575941669864113,23.24329664210856,16.242002117690188,720575941669864113,76071705504037900,"118121, 92500, 2674",left,neck_connective,ascending,10B,NA,NA,AN10B039,AN_GNG_165,AN10B039,proprioceptive,CNS_02
720575941670138033,27.05117322902263,-14.193346393052,720575941670138033,76142074247921096,"120419, 92500, 2572",right,neck_connective,ascending,09B,NA,NA,AN09B033,AN_multi_70,AN09B033,feeding,CNS_08
720575941670819495,-26.002001743511553,20.07159196144019,720575941670819495,76212443059237813,"122482, 92500, 2829",right,neck_connective,ascending,07B,NA,NA,AN07B032,AN_4_None,AN07B032,flight steering 2,CNS_01
720575941671012263,3.0468106458622266,-14.579846751633545,720575941671012263,76212443059075509,"121107, 92500, 2819",right,neck_connective,ascending,08B,NA,NA,AN08B026,AN_multi_40,AN08B026,walking steering,CNS_02
