root_id,UMAP1,UMAP2,root_626,supervoxel_id,position,side,region,flow,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,cluster,super_cluster
720575941609584742,1.3356279597605445,5.685104518187117,720575941609584742,75722885507518592,"106608, 182584, 3019",right,ventral_nerve_cord,efferent,motor,NA,leg_motor,right T2 leg nerve,tarsus_depressor_dipalpha_ventralU,NA,auto:ltm MN,EFF_12,middle-hind leg
720575941610029642,7.612361119779465,2.979899435293746,720575941610029642,77410223539272033,"157378, 137789, 3028",left,ventral_nerve_cord,efferent,motor,NA,leg_motor,left_prothoracic_leg_nerve,accessory_tibia_flexor_B,NA,auto:Acc. ti flexor MN,EFF_11,front leg
720575941610059238,7.4752275214518304,3.1440055658937225,720575941610059238,76706467243299039,"136975, 136967, 2313",left,ventral_nerve_cord,efferent,motor,NA,leg_motor,left_dorsal_prothoracic_nerve,tergopleural_promotor_pleural_promotor,NA,auto:Sternal anterior rotator MN,EFF_11,front leg
720575941610064102,1.0026935801829078,4.769083647978379,720575941610064102,75372416578761768,"96514,223570,4517",right,ventral_nerve_cord,efferent,motor,NA,leg_motor,right_metathoracic_leg_nerve,tarsus_depressor_B,NA,auto:IN19A031,EFF_12,middle-hind leg
720575941610073958,0.34539799550425787,-1.6531756827711335,720575941610073958,76074936124634298,"117049,188736,5693",right,ventral_nerve_cord,efferent,motor,TBD,NA,NA,MNad02,NA,MNad02,EFF_09,abdomen motor 2
720575941610087498,2.179205106290696,-1.9453590819715731,720575941610087498,76989179506234970,"145228,172342,3645",left,ventral_nerve_cord,efferent,motor,16B,wing_tension,left_anterior_dorsal_mesothoracic_nerve,tp1,NA,tp1 MN,EFF_08,flight-energy-power
720575941610358761,0.9897190795267798,5.823724894774033,720575941610358761,75652585617136423,"106438, 184672, 3555",right,ventral_nerve_cord,efferent,motor,NA,leg_motor,NA,accessory_trochanter_flexor,NA,Acc. tr flexor MN,EFF_12,middle-hind leg
720575941610567597,7.289426015409349,-0.47722086404554764,720575941610567597,76498454193007089,"130275,227554,5585",left,ventral_nerve_cord,efferent,motor,15B,leg_motor,left_metathoracic_leg_nerve,long_tendon_muscle_ltm_B,NA,ltm MN,EFF_10,middle-hind leg
720575941610608604,0.5892160401667333,5.096863656294419,720575941610608604,75302047902129533,"95573,224261,4863",right,ventral_nerve_cord,efferent,motor,NA,leg_motor,right_metathoracic_leg_nerve,trochanter_flexor_dorsomedial_ribbon,NA,auto:IN06B029,EFF_12,middle-hind leg
720575941610949962,-4.245544983354691,-4.300917954194472,720575941610949962,75021260522207156,"86688, 245344, 6257",right,ventral_nerve_cord,efferent,motor,TBD,ovulation,abdominal_nerve_trunk,CMU-like,NA,MNad61,EFF_02,abdomen-egg-laying
720575941611054154,6.82421271661174,0.4798920443177948,720575941611054154,77059754610262917,"147168, 178528, 4447",left,ventral_nerve_cord,efferent,motor,NA,leg_motor,NA,accessory_tibia_flexor_A,NA,NA,EFF_10,middle-hind leg
720575941611096028,2.868016646894334,1.3677023341775665,720575941611096028,77055768343885268,"146893, 59998, 2429",left,central_brain,efferent,motor,putative_primary,retina_motor,AN,CB0901,CB0901,NA,EFF_14,head-eye-antenna
720575941611258076,-3.8235786690388935,-4.18294844125502,720575941611258076,75373104309952426,"96305, 244375, 6422",left,ventral_nerve_cord,efferent,motor,TBD,NA,NA,MNad02,NA,MNad02,EFF_02,abdomen-egg-laying
720575941611319017,6.62456385949504,-0.7067945906996004,720575941611319017,76217323014479292,"121046, 238624, 6149",left,ventral_nerve_cord,efferent,motor,NA,leg_motor,left_metathoracic_leg_nerve,trochanter_flexor_dorsomedial_ribbon,NA,auto:IN08A002,EFF_10,middle-hind leg
720575941611361811,7.7115203605021225,2.833704500448776,720575941611361811,77058379683707465,"146866,137848,2486",left,ventral_nerve_cord,efferent,motor,15B,leg_motor,left_prothoracic_leg_nerve,tarsus_levator_D,NA,Ta levator MN,EFF_11,front leg
720575941611369705,7.009459661039231,0.36490788961656184,720575941611369705,76989248292838229,"143696,175950,3909",left,ventral_nerve_cord,efferent,motor,15B,leg_motor,NA,accessory_tibia_flexor_A,NA,Acc. ti flexor MN,EFF_10,middle-hind leg
720575941611652627,7.319582150968429,-0.09861967061750798,720575941611652627,76848854536472833,"140362, 185110, 4543",left,ventral_nerve_cord,efferent,motor,NA,leg_motor,NA,long_tendon_muscle_B_tibia,NA,auto:IN12B023,EFF_10,middle-hind leg
720575941611707923,7.184235738309738,0.14774861837632752,720575941611707923,77059960836185599,"146313,185498,4832",left,ventral_nerve_cord,efferent,motor,15B,leg_motor,NA,tarsus_depressor_B,NA,MNml78,EFF_10,middle-hind leg
720575941611750419,1.3248485789622049,5.776847272169664,720575941611750419,75722885574565699,"107327,183936,3250",right,ventral_nerve_cord,efferent,motor,NA,leg_motor,right_mesothoracic_leg_nerve,long_tendon_muscle_B,NA,ltm2-femur MN,EFF_12,middle-hind leg
720575941611754470,-4.9541643395100845,-4.085810990083146,720575941611754470,75514116340624029,"100576, 252416, 5140",right,ventral_nerve_cord,efferent,visceral_circulatory,NA,NA,NA,ab-PDF,NA,auto:INXXX418,EFF_02,abdomen-ureter
720575941611945389,6.499123738798021,-0.5005577514051666,720575941611945389,76217048203999588,"121856,230990,6503",left,ventral_nerve_cord,efferent,motor,NA,leg_motor,left_first_abdominal_nerve,sternal_adductor_MetaAN,NA,auto:IN19A016,EFF_10,middle-hind leg
720575941612256476,6.811281369718429,-0.7856994578718416,720575941612256476,76287760277289600,"122962, 240882, 5531",left,ventral_nerve_cord,efferent,motor,NA,leg_motor,left_metathoracic_leg_nerve,accessory_tibia_flexor_A,NA,auto:IN19A005,EFF_10,middle-hind leg
720575941612364774,-7.830560041872147,-1.737687201249527,720575941612364774,75647568222177140,"106432, 36337, 93",right,central_brain,efferent,motor,putative_primary,crop_motor,right_pharyngeal_nerve_or_accessory_pharyngeal_nerve,CEM,CEM,NA,EFF_07,NA
720575941612641433,-2.5235855116521146,-2.569847912537979,720575941612641433,75372623072938667,"97060,230412,5884",right,ventral_nerve_cord,efferent,motor,TBD,NA,NA,MNad11,NA,MNad11,EFF_01,abdomen motor 1
720575941612779740,-5.660899950471999,-3.1250222632765046,720575941612779740,75232298035245456,"92798, 242288, 6257",right,ventral_nerve_cord,efferent,motor,NA,NA,NA,NA,NA,auto:INXXX441,EFF_03,abdomen-ureter
720575941613374172,6.614045308622238,0.11296132112748714,720575941613374172,77270586233239396,"152000, 171904, 5473",left,ventral_nerve_cord,efferent,motor,24B.25B,leg_motor,left_mesothoracic_leg_nerve,trochanter_flexor_MesoAN,NA,Tr flexor MN,EFF_10,middle-hind leg
720575941614289683,2.3914264903391573,-2.3812340209364176,720575941614289683,77340611246118444,"154656, 161264, 5025",left,ventral_nerve_cord,efferent,motor,NA,wing_power,left_posterior_dorsal_mesothoracic_nerve,DVM3a-b,NA,NA,EFF_08,flight-energy-power
