FBbt_id	cell_type	synonym	creation_date	asserted_parents	notes
FBbt:20004078	CB0272		2024-02-05T12:00:00Z		
FBbt:20004079	CB0276		2024-02-05T12:00:00Z		
FBbt:20004080	CB0277		2024-02-05T12:00:00Z		
FBbt:20004081	CB0278		2024-02-05T12:00:00Z		
FBbt:20004082	CB0279		2024-02-05T12:00:00Z		
FBbt:20004083	CB0280		2024-02-05T12:00:00Z		
FBbt:20004084	CB0282		2024-02-05T12:00:00Z		
FBbt:20004085	CB0283		2024-02-05T12:00:00Z		
FBbt:20004086	CB0284		2024-02-05T12:00:00Z		
FBbt:20004087	CB0285		2024-02-05T12:00:00Z		
FBbt:20004088	CB0286		2024-02-05T12:00:00Z		
FBbt:20004089	CB0287		2024-02-05T12:00:00Z		
FBbt:20004090	CB0288		2024-02-05T12:00:00Z		
FBbt:20004091	CB0289		2024-02-05T12:00:00Z		
FBbt:20004092	CB0292		2024-02-05T12:00:00Z		
FBbt:20004093	CB0294		2024-02-05T12:00:00Z		
FBbt:20004094	CB0295		2024-02-05T12:00:00Z		
FBbt:20004095	CB0296		2024-02-05T12:00:00Z		
FBbt:20004096	CB0297		2024-02-05T12:00:00Z		
FBbt:20004097	CB0298		2024-02-05T12:00:00Z		
FBbt:20004098	CB0299		2024-02-05T12:00:00Z		
FBbt:20004099	CB0300		2024-02-05T12:00:00Z		
FBbt:20004100	CB0302		2024-02-05T12:00:00Z		
FBbt:20004101	CB0303		2024-02-05T12:00:00Z		
FBbt:20004102	CB0305		2024-02-05T12:00:00Z		
FBbt:20004103	CB0306		2024-02-05T12:00:00Z		
FBbt:20004104	CB0307		2024-02-05T12:00:00Z		
FBbt:20004105	CB0309		2024-02-05T12:00:00Z		
FBbt:20004106	CB0310		2024-02-05T12:00:00Z		
FBbt:20004107	CB0311		2024-02-05T12:00:00Z		
FBbt:20004108	CB0312		2024-02-05T12:00:00Z		
FBbt:20004109	CB0313		2024-02-05T12:00:00Z		
FBbt:20004110	CB0314		2024-02-05T12:00:00Z		
FBbt:20004111	CB0316		2024-02-05T12:00:00Z		
FBbt:20004112	CB0317		2024-02-05T12:00:00Z		
FBbt:20004113	CB0318		2024-02-05T12:00:00Z		
FBbt:20004114	CB0319		2024-02-05T12:00:00Z		
FBbt:20004115	CB0320		2024-02-05T12:00:00Z		
FBbt:20004116	CB0323		2024-02-05T12:00:00Z		
FBbt:20004117	CB0324		2024-02-05T12:00:00Z		
FBbt:20004118	CB0325		2024-02-05T12:00:00Z		
FBbt:20004119	CB0327		2024-02-05T12:00:00Z		
FBbt:20004120	CB0328		2024-02-05T12:00:00Z		
FBbt:20004121	CB0331		2024-02-05T12:00:00Z		
FBbt:20004122	CB0333		2024-02-05T12:00:00Z		
FBbt:20004123	CB0335		2024-02-05T12:00:00Z		
FBbt:20004124	CB0336		2024-02-05T12:00:00Z		
FBbt:20004125	CB0337		2024-02-05T12:00:00Z		
FBbt:20004126	MeMe_e10	MeVPMe10	2024-04-24T12:00:00Z		Nern et al. (2025)
FBbt:20004127	CB0340		2024-02-05T12:00:00Z		
FBbt:20004128	CB0341		2024-02-05T12:00:00Z		
FBbt:20004129	CB0342		2024-02-05T12:00:00Z		
FBbt:20004130	CB0343		2024-02-05T12:00:00Z		
FBbt:20004131	CB0344		2024-02-05T12:00:00Z		
FBbt:20004132	CB0345		2024-02-05T12:00:00Z		
FBbt:20004133	CB0346		2024-02-05T12:00:00Z		
FBbt:20004134	CB0349		2024-02-05T12:00:00Z		
FBbt:20004135	CB0350		2024-02-05T12:00:00Z		
FBbt:20004136	CB0351		2024-02-05T12:00:00Z		
FBbt:20004137	CB0352		2024-02-05T12:00:00Z		
FBbt:20004138	CB0354		2024-02-05T12:00:00Z		
FBbt:20004139	CB0356		2024-02-05T12:00:00Z		
FBbt:20004140	CB0357		2024-02-05T12:00:00Z		
FBbt:20004141	CB0358		2024-02-05T12:00:00Z		
FBbt:20004142	CB0359		2024-02-05T12:00:00Z		
FBbt:20004143	CB0360		2024-02-05T12:00:00Z		
FBbt:20004144	CB0361		2024-02-05T12:00:00Z		
FBbt:20004145	CB0362		2024-02-05T12:00:00Z		
FBbt:20004146	CB0363		2024-02-05T12:00:00Z		
FBbt:20004147	CB0364		2024-02-05T12:00:00Z		
FBbt:20004150	CB0367		2024-02-05T12:00:00Z		
FBbt:20004151	CB0368		2024-02-05T12:00:00Z		
FBbt:20004152	CB0369		2024-02-05T12:00:00Z		
FBbt:20004153	CB0370		2024-02-05T12:00:00Z		
FBbt:20004154	CB0373		2024-02-05T12:00:00Z		
FBbt:20004155	CB0374		2024-02-05T12:00:00Z		
FBbt:20004156	CB0376		2024-02-05T12:00:00Z		
FBbt:20004157	CB0377		2024-02-05T12:00:00Z		
FBbt:20004158	CB0378		2024-02-05T12:00:00Z		
FBbt:20004159	CB0379		2024-02-05T12:00:00Z		
FBbt:20004160	CB0380		2024-02-05T12:00:00Z		
FBbt:20004161	CB0381		2024-02-05T12:00:00Z		
FBbt:20004162	CB0382		2024-02-05T12:00:00Z		
FBbt:20004163	CB0386		2024-02-05T12:00:00Z		
FBbt:20004164	CB0387		2024-02-05T12:00:00Z		
FBbt:20004165	CB0390		2024-02-05T12:00:00Z		
FBbt:20004166	CB0391		2024-02-05T12:00:00Z		
FBbt:20004167	CB0392		2024-02-05T12:00:00Z		
