male-cns_region	FBbt_id	FBbt_name	notes
AL-VC3(L)	FBbt:00003953	antennal lobe glomerulus VC3	
AL-VC3(R)	FBbt:00003953	antennal lobe glomerulus VC3	
AL-VC4(L)	FBbt:00007366	antennal lobe glomerulus VC4	
AL-VC4(R)	FBbt:00007366	antennal lobe glomerulus VC4	
AL-VC5(L)	FBbt:00007104	antennal lobe glomerulus VC5	
AL-VC5(R)	FBbt:00007104	antennal lobe glomerulus VC5	
AL-VL1(L)	FBbt:00003954	antennal lobe glomerulus VL1	
AL-VL1(R)	FBbt:00003954	antennal lobe glomerulus VL1	
AL-VL2a(L)	FBbt:00007106	antennal lobe glomerulus VL2a	
AL-VL2a(R)	FBbt:00007106	antennal lobe glomerulus VL2a	
AL-VL2p(L)	FBbt:00007107	antennal lobe glomerulus VL2p	
AL-VL2p(R)	FBbt:00007107	antennal lobe glomerulus VL2p	
AL-VM1(L)	FBbt:00003956	antennal lobe glomerulus VM1	
AL-VM1(R)	FBbt:00003956	antennal lobe glomerulus VM1	
AL-VM2(L)	FBbt:00003947	antennal lobe glomerulus VM2	
AL-VM2(R)	FBbt:00003947	antennal lobe glomerulus VM2	
AL-VM3(L)	FBbt:00003948	antennal lobe glomerulus VM3	
AL-VM3(R)	FBbt:00003948	antennal lobe glomerulus VM3	
AL-VM4(L)	FBbt:00003957	antennal lobe glomerulus VM4	
AL-VM4(R)	FBbt:00003957	antennal lobe glomerulus VM4	
AL-VM5d(L)	FBbt:00007391	antennal lobe glomerulus VM5d	
AL-VM5d(R)	FBbt:00007391	antennal lobe glomerulus VM5d	
AL-VM5v(L)	FBbt:00007365	antennal lobe glomerulus VM5v	
AL-VM5v(R)	FBbt:00007365	antennal lobe glomerulus VM5v	
AL-VM6(L)	FBbt:00110029	antennal lobe glomerulus VM6	
AL-VM6(R)	FBbt:00110029	antennal lobe glomerulus VM6	
AL-VM7d(L)	FBbt:00110028	antennal lobe glomerulus VM7d	
AL-VM7d(R)	FBbt:00110028	antennal lobe glomerulus VM7d	
AL-VM7v(L)	FBbt:00007092	antennal lobe glomerulus VM7v	
AL-VM7v(R)	FBbt:00007092	antennal lobe glomerulus VM7v	
AL-VP1d(L)	FBbt:00049639	antennal lobe glomerulus VP1d	
AL-VP1d(R)	FBbt:00049639	antennal lobe glomerulus VP1d	
AL-VP1l(L)	FBbt:00049640	antennal lobe glomerulus VP1l	
AL-VP1l(R)	FBbt:00049640	antennal lobe glomerulus VP1l	
