?cls	?xref
<http://purl.obolibrary.org/obo/FBbt_20008095>	"VFB:FBbt_20008095"
<http://purl.obolibrary.org/obo/FBbt_20007706>	"VFB:FBbt_20007706"
<http://purl.obolibrary.org/obo/FBbt_20009856>	"VFB:FBbt_20009856"
<http://purl.obolibrary.org/obo/FBbt_20010863>	"VFB:FBbt_20010863"
<http://purl.obolibrary.org/obo/FBbt_20008138>	"VFB:FBbt_20008138"
<http://purl.obolibrary.org/obo/FBbt_20008646>	"VFB:FBbt_20008646"
<http://purl.obolibrary.org/obo/FBbt_20008722>	"VFB:FBbt_20008722"
<http://purl.obolibrary.org/obo/FBbt_20008409>	"VFB:FBbt_20008409"
<http://purl.obolibrary.org/obo/FBbt_20011309>	"VFB:FBbt_20011309"
<http://purl.obolibrary.org/obo/FBbt_20008716>	"VFB:FBbt_20008716"
<http://purl.obolibrary.org/obo/FBbt_20009550>	"VFB:FBbt_20009550"
<http://purl.obolibrary.org/obo/FBbt_20008985>	"VFB:FBbt_20008985"
<http://purl.obolibrary.org/obo/FBbt_20009120>	"VFB:FBbt_20009120"
<http://purl.obolibrary.org/obo/FBbt_20010529>	"VFB:FBbt_20010529"
<http://purl.obolibrary.org/obo/FBbt_20010266>	"VFB:FBbt_20010266"
<http://purl.obolibrary.org/obo/FBbt_20010009>	"VFB:FBbt_20010009"
<http://purl.obolibrary.org/obo/FBbt_20007754>	"VFB:FBbt_20007754"
<http://purl.obolibrary.org/obo/FBbt_20009413>	"VFB:FBbt_20009413"
<http://purl.obolibrary.org/obo/FBbt_20009660>	"VFB:FBbt_20009660"
<http://purl.obolibrary.org/obo/FBbt_20010639>	"VFB:FBbt_20010639"
<http://purl.obolibrary.org/obo/FBbt_20008150>	"VFB:FBbt_20008150"
<http://purl.obolibrary.org/obo/FBbt_20010573>	"VFB:FBbt_20010573"
<http://purl.obolibrary.org/obo/FBbt_20008088>	"VFB:FBbt_20008088"
<http://purl.obolibrary.org/obo/FBbt_20011003>	"VFB:FBbt_20011003"
<http://purl.obolibrary.org/obo/FBbt_20011196>	"VFB:FBbt_20011196"
<http://purl.obolibrary.org/obo/FBbt_20007824>	"VFB:FBbt_20007824"
<http://purl.obolibrary.org/obo/FBbt_20009676>	"VFB:FBbt_20009676"
<http://purl.obolibrary.org/obo/FBbt_00048235>	"VFB:FBbt_00048235"
<http://purl.obolibrary.org/obo/FBbt_20010683>	"VFB:FBbt_20010683"
<http://purl.obolibrary.org/obo/FBbt_20010224>	"VFB:FBbt_20010224"
<http://purl.obolibrary.org/obo/FBbt_20011298>	"VFB:FBbt_20011298"
<http://purl.obolibrary.org/obo/FBbt_20009936>	"VFB:FBbt_20009936"
<http://purl.obolibrary.org/obo/FBbt_20009034>	"VFB:FBbt_20009034"
<http://purl.obolibrary.org/obo/FBbt_20008542>	"VFB:FBbt_20008542"
