type	FBbt_id
DNut062	FBbt:20008281
DNxl021	FBbt:20008282
DNxl022	FBbt:20008283
DNxl049	FBbt:20008284
DNxl053	FBbt:20008285
DNxl056	FBbt:20008286
DNxl063	FBbt:20008287
DNxl065	FBbt:20008288
DNxl066	FBbt:20008289
DNxl067	FBbt:20008290
DNxl068	FBbt:20008291
DNxl070	FBbt:20008292
DNxl072	FBbt:20008294
DNxl073	FBbt:20008295
DNxl074	FBbt:20008296
DNxl075	FBbt:20008297
DNxl076	FBbt:20008298
DNxl077	FBbt:20008299
DNxl078	FBbt:20008300
DNxl079	FBbt:20008301
DNxl080	FBbt:20008302
DNxl081	FBbt:20008303
DNxl082	FBbt:20008304
DNxl083	FBbt:20008305
DNxl084	FBbt:20008306
DNxl085	FBbt:20008307
DNxl086	FBbt:20008308
DNxl087	FBbt:20008309
DNxl088	FBbt:20008310
DNxl090	FBbt:20008311
DNxl091	FBbt:20008312
DNxl092	FBbt:20008313
DNxl093	FBbt:20008314
DNxl094	FBbt:20008315
DNxl095	FBbt:20008316
DNxl096	FBbt:20008317
DNxl097	FBbt:20008318
DNxl098	FBbt:20008319
DNxl099	FBbt:20008320
DNxl100	FBbt:20008321
DNxl101	FBbt:20008322
DNxl102	FBbt:20008323
DNxl103	FBbt:20008324
DNxl104	FBbt:20008325
DNxl105	FBbt:20008326
DNxl106	FBbt:20008327
DNxl107	FBbt:20008328
DNxl108	FBbt:20008329
DNxl109	FBbt:20008330
DNxl110	FBbt:20008331
DNxl111	FBbt:20008332
DNxl112	FBbt:20008333
DNxl113	FBbt:20008334
DNxl114	FBbt:20008335
DNxl115	FBbt:20008336
DNxl116	FBbt:20008337
DNxl117	FBbt:20008338
DNxl118	FBbt:20008339
DNxl119	FBbt:20008340
DNxl120	FBbt:20008341
DNxl121	FBbt:20008342
DNxl122	FBbt:20008343
DNxl123	FBbt:20008344
DNxl124	FBbt:20008345
DNxl125	FBbt:20008346
DNxl126	FBbt:20008347
DNxl127	FBbt:20008348
DNxl128	FBbt:20008349
DNxl129	FBbt:20008350
DNxl130	FBbt:20008351
DNxl131	FBbt:20008352
DNxl132	FBbt:20008353
DNxl133	FBbt:20008354
DNxl134	FBbt:20008355
DNxl135	FBbt:20008356
DNxn071	FBbt:20008357
DNxn073	FBbt:20008358
DNxn100	FBbt:20008359
DNxn101	FBbt:20008360
DNxn102	FBbt:20008361
DNxn103	FBbt:20008362
DNxn104	FBbt:20008363
DNxn105	FBbt:20008364
DNxn106	FBbt:20008365
DNxn107	FBbt:20008366
DNxn108	FBbt:20008367
DNxn109	FBbt:20008368
DNxn110	FBbt:20008369
DNxn111	FBbt:20008370
DNxn112	FBbt:20008371
DNxn113	FBbt:20008372
DNxn114	FBbt:20008373
DNxn115	FBbt:20008374
DNxn116	FBbt:20008375
DNxn117	FBbt:20008376
DNxn118	FBbt:20008377
DNxn119	FBbt:20008378
DNxn121	FBbt:20008379
DNxn122	FBbt:20008380
DNxn123	FBbt:20008381
DNxn124	FBbt:20008382
DNxn125	FBbt:20008383
DNxn126	FBbt:20008384
DNxn127	FBbt:20008385
DNxn128	FBbt:20008386
DNxn129	FBbt:20008387
DNxn130	FBbt:20008388
DNxn131	FBbt:20008389
DNxn132	FBbt:20008390
DNxn133	FBbt:20008391
DNxn134	FBbt:20008392
DNxn135	FBbt:20008393
DNxn136	FBbt:20008394
DNxn137	FBbt:20008395
DNxn138	FBbt:20008396
DNxn139	FBbt:20008397
DNxn140	FBbt:20008398
DNxn141	FBbt:20008399
DNxn142	FBbt:20008400
DNxn143	FBbt:20008401
DNxn144	FBbt:20008402
DNxn145	FBbt:20008403
DNxn146	FBbt:20008404
DNxn147	FBbt:20008405
DNxn148	FBbt:20008406
DNxn149	FBbt:20008407
DNxn150	FBbt:20008408
DNxn151	FBbt:20008409
DNxn152	FBbt:20008410
DNxn153	FBbt:20008411
DNxn154	FBbt:20008412
DNxn155	FBbt:20008413
DNxn156	FBbt:20008414
DNxn157	FBbt:20008415
DNxn158	FBbt:20008416
DNxn159	FBbt:20008417
DNxn160	FBbt:20008418
DNxn161	FBbt:20008419
DNxn162	FBbt:20008420
DNxn163	FBbt:20008421
DNxn164	FBbt:20008422
DNxn165	FBbt:20008423
DNxn166	FBbt:20008424
DNxn167	FBbt:20008425
DNxn168	FBbt:20008426
DNxn169	FBbt:20008427
DNxn170	FBbt:20008428
DNxn171	FBbt:20008429
DNxn172	FBbt:20008430
DNxn173	FBbt:20008431
DNxn174	FBbt:20008432
DNxn175	FBbt:20008433
DNxn176	FBbt:20008434
DNxn177	FBbt:20008435
DNxn178	FBbt:20008436
DNxn179	FBbt:20008437
DNxn180	FBbt:20008438
DNxn181	FBbt:20008439
DNxn182	FBbt:20008440
DNxn183	FBbt:20008441
DNxn184	FBbt:20008442
DNxn185	FBbt:20008443
DNxn186	FBbt:20008444
DNxn187	FBbt:20008445
DNxn188	FBbt:20008446
DNxn189	FBbt:20008447
DNxn190	FBbt:20008448
DNxn191	FBbt:20008449
DNxn192	FBbt:20008450
DNxn193	FBbt:20008451
EA00B006	FBbt:20008452
EA00B022	FBbt:20008453
EA06B010	FBbt:20008454
EA27X006	FBbt:20008455
EN00B002	FBbt:20008456
EN00B003	FBbt:20008457
EN00B004	FBbt:20008458
EN00B009	FBbt:20008459
EN00B010	FBbt:20008460
EN00B012	FBbt:20008461
EN00B013	FBbt:20008462
EN00B014	FBbt:20008463
EN00B016	FBbt:20008464
EN00B018	FBbt:20008465
EN00B019	FBbt:20008466
EN00B020	FBbt:20008467
EN00B021	FBbt:20008468
EN00B024	FBbt:20008469
EN00B027	FBbt:20008470
EN21X001	FBbt:20008471
EN27X010	FBbt:20008472
ENXXX012	FBbt:20008473
ENXXX128	FBbt:20008474
ENXXX226	FBbt:20008475
ENXXX286	FBbt:20008476
IN00A001	FBbt:20008477
IN00A002	FBbt:20008478
IN00A003	FBbt:20008479
IN00A004	FBbt:20008480
IN00A005	FBbt:20008481
IN00A007	FBbt:20008482
IN00A008	FBbt:20008483
IN00A009	FBbt:20008484
IN00A010	FBbt:20008485
IN00A011	FBbt:20008486
IN00A012	FBbt:20008487
IN00A013	FBbt:20008488
IN00A014	FBbt:20008489
IN00A016	FBbt:20008490
IN00A017	FBbt:20008491
IN00A018	FBbt:20008492
IN00A019	FBbt:20008493
IN00A020	FBbt:20008494
IN00A021	FBbt:20008495
IN00A022	FBbt:20008496
IN00A024	FBbt:20008497
IN00A025	FBbt:20008498
IN00A026	FBbt:20008499
IN00A027	FBbt:20008500
IN00A028	FBbt:20008501
IN00A029	FBbt:20008502
IN00A030	FBbt:20008503
IN00A031	FBbt:20008504
IN00A032	FBbt:20008505
IN00A033	FBbt:20008506
IN00A034	FBbt:20008507
IN00A035	FBbt:20008508
IN00A036	FBbt:20008509
IN00A037	FBbt:20008510
IN00A038	FBbt:20008511
IN00A039	FBbt:20008512
IN00A040	FBbt:20008513
IN00A041	FBbt:20008514
IN00A042	FBbt:20008515
IN00A043	FBbt:20008516
IN00A044	FBbt:20008517
IN00A045	FBbt:20008518
IN00A046	FBbt:20008519
IN00A047	FBbt:20008520
IN00A048	FBbt:20008521
IN00A049	FBbt:20008522
IN00A050	FBbt:20008523
IN00A051	FBbt:20008524
IN00A052	FBbt:20008525
IN00A053	FBbt:20008526
IN00A054	FBbt:20008527
IN00A055	FBbt:20008528
IN00A056	FBbt:20008529
IN00A057	FBbt:20008530
IN00A058	FBbt:20008531
IN00A059	FBbt:20008532
IN00A060	FBbt:20008533
IN00A061	FBbt:20008534
IN00A062	FBbt:20008535
IN00A063	FBbt:20008536
IN00A064	FBbt:20008537
IN00A065	FBbt:20008538
IN00A066	FBbt:20008539
IN00A067	FBbt:20008540
IN00A068	FBbt:20008541
IN00A069	FBbt:20008542
IN00A070	FBbt:20008543
IN00A071	FBbt:20008544
IN01A001	FBbt:20008545
IN01A002	FBbt:20008546
IN01A003	FBbt:20008547
IN01A004	FBbt:20008548
IN01A005	FBbt:20008549
IN01A007	FBbt:20008550
IN01A008	FBbt:20008551
IN01A009	FBbt:20008552
IN01A010	FBbt:20008553
IN01A011	FBbt:20008554
IN01A012	FBbt:20008555
IN01A013	FBbt:20008556
IN01A015	FBbt:20008557
IN01A016	FBbt:20008558
IN01A017	FBbt:20008559
IN01A018	FBbt:20008560
IN01A019	FBbt:20008561
IN01A020	FBbt:20008562
IN01A022	FBbt:20008563
IN01A023	FBbt:20008564
IN01A024	FBbt:20008565
IN01A025	FBbt:20008566
IN01A026	FBbt:20008567
IN01A027	FBbt:20008568
IN01A028	FBbt:20008569
IN01A029	FBbt:20008570
IN01A030	FBbt:20008571
IN01A031	FBbt:20008572
IN01A032	FBbt:20008573
IN01A034	FBbt:20008574
IN01A035	FBbt:20008575
IN01A036	FBbt:20008576
IN01A037	FBbt:20008577
IN01A038	FBbt:20008578
IN01A039	FBbt:20008579
IN01A040	FBbt:20008580
IN01A041	FBbt:20008581
IN01A042	FBbt:20008582
