defined_class	defined_class_label	neuron_type	neuron_type_label	Landgraf_name	Hoang_name	Doe_name	neuromere	neuromere_label	neuromere_short	alt_segment_long	alt_segment_short	Ib_muscle	Ib_muscle_label	Is_muscle	Is_muscle_label	II_muscle	II_muscle_label	III_muscle	III_muscle_label	nerve	nerve_label
FBbt:00048740	larval DO3 motor neuron of abdominal 1 neuromere	FBbt:00011548	DO3 motor neuron	DO3	MN11-Ib		FBbt:00111033	larval abdominal 1 neuromere	A1	abdominal 2	A2	FBbt:00000696	muscle cell of abdominal 2 dorsal oblique muscle 3								
FBbt:00048741	larval DO3 motor neuron of abdominal 2 neuromere	FBbt:00011548	DO3 motor neuron	DO3	MN11-Ib		FBbt:00111034	larval abdominal 2 neuromere	A2	abdominal 3	A3	FBbt:00000741	muscle cell of abdominal 3 dorsal oblique muscle 3								
FBbt:00048742	larval DO3 motor neuron of abdominal 3 neuromere	FBbt:00011548	DO3 motor neuron	DO3	MN11-Ib		FBbt:00111035	larval abdominal 3 neuromere	A3	abdominal 4	A4	FBbt:00000786	muscle cell of abdominal 4 dorsal oblique muscle 3								
FBbt:00048743	larval DO3 motor neuron of abdominal 4 neuromere	FBbt:00011548	DO3 motor neuron	DO3	MN11-Ib		FBbt:00111036	larval abdominal 4 neuromere	A4	abdominal 5	A5	FBbt:00000831	muscle cell of abdominal 5 dorsal oblique muscle 3								
FBbt:00048744	larval DO3 motor neuron of abdominal 5 neuromere	FBbt:00011548	DO3 motor neuron	DO3	MN11-Ib		FBbt:00111037	larval abdominal 5 neuromere	A5	abdominal 6	A6	FBbt:00000876	muscle cell of abdominal 6 dorsal oblique muscle 3								
FBbt:00048745	larval DO3 motor neuron of abdominal 6 neuromere	FBbt:00011548	DO3 motor neuron	DO3	MN11-Ib		FBbt:00111038	larval abdominal 6 neuromere	A6	abdominal 7	A7	FBbt:00000921	muscle cell of abdominal 7 dorsal oblique muscle 3								
FBbt:00048746	larval DO4 motor neuron of metathoracic neuromere	FBbt:00110238	DO4 motor neuron	DO4	MN19-Ib		FBbt:00111032	larval metathoracic neuromere	T3	abdominal 1	A1	FBbt:00000661	muscle cell of abdominal 1 dorsal oblique muscle 4								
FBbt:00048747	larval DO4 motor neuron of abdominal 1 neuromere	FBbt:00110238	DO4 motor neuron	DO4	MN19-Ib		FBbt:00111033	larval abdominal 1 neuromere	A1	abdominal 2	A2	FBbt:00000697	muscle cell of abdominal 2 dorsal oblique muscle 4								
FBbt:00048748	larval DO4 motor neuron of abdominal 2 neuromere	FBbt:00110238	DO4 motor neuron	DO4	MN19-Ib		FBbt:00111034	larval abdominal 2 neuromere	A2	abdominal 3	A3	FBbt:00000742	muscle cell of abdominal 3 dorsal oblique muscle 4								
FBbt:00048749	larval DO4 motor neuron of abdominal 3 neuromere	FBbt:00110238	DO4 motor neuron	DO4	MN19-Ib		FBbt:00111035	larval abdominal 3 neuromere	A3	abdominal 4	A4	FBbt:00000787	muscle cell of abdominal 4 dorsal oblique muscle 4								
FBbt:00048750	larval DO4 motor neuron of abdominal 4 neuromere	FBbt:00110238	DO4 motor neuron	DO4	MN19-Ib		FBbt:00111036	larval abdominal 4 neuromere	A4	abdominal 5	A5	FBbt:00000832	muscle cell of abdominal 5 dorsal oblique muscle 4								
FBbt:00048751	larval DO4 motor neuron of abdominal 5 neuromere	FBbt:00110238	DO4 motor neuron	DO4	MN19-Ib		FBbt:00111037	larval abdominal 5 neuromere	A5	abdominal 6	A6	FBbt:00000877	muscle cell of abdominal 6 dorsal oblique muscle 4								
FBbt:00048752	larval DO4 motor neuron of abdominal 6 neuromere	FBbt:00110238	DO4 motor neuron	DO4	MN19-Ib		FBbt:00111038	larval abdominal 6 neuromere	A6	abdominal 7	A7	FBbt:00000922	muscle cell of abdominal 7 dorsal oblique muscle 4								
FBbt:00048753	larval DO5 motor neuron of metathoracic neuromere	FBbt:00110241	DO5 motor neuron	DO5	MN20-Ib		FBbt:00111032	larval metathoracic neuromere	T3	abdominal 1	A1	FBbt:00000662	muscle cell of abdominal 1 dorsal oblique muscle 5								
FBbt:00048754	larval DO5 motor neuron of abdominal 1 neuromere	FBbt:00110241	DO5 motor neuron	DO5	MN20-Ib		FBbt:00111033	larval abdominal 1 neuromere	A1	abdominal 2	A2	FBbt:00000698	muscle cell of abdominal 2 dorsal oblique muscle 5								
FBbt:00048755	larval DO5 motor neuron of abdominal 2 neuromere	FBbt:00110241	DO5 motor neuron	DO5	MN20-Ib		FBbt:00111034	larval abdominal 2 neuromere	A2	abdominal 3	A3	FBbt:00000743	muscle cell of abdominal 3 dorsal oblique muscle 5								
FBbt:00048756	larval DO5 motor neuron of abdominal 3 neuromere	FBbt:00110241	DO5 motor neuron	DO5	MN20-Ib		FBbt:00111035	larval abdominal 3 neuromere	A3	abdominal 4	A4	FBbt:00000788	muscle cell of abdominal 4 dorsal oblique muscle 5								
FBbt:00048757	larval DO5 motor neuron of abdominal 4 neuromere	FBbt:00110241	DO5 motor neuron	DO5	MN20-Ib		FBbt:00111036	larval abdominal 4 neuromere	A4	abdominal 5	A5	FBbt:00000833	muscle cell of abdominal 5 dorsal oblique muscle 5								
FBbt:00048758	larval DO5 motor neuron of abdominal 5 neuromere	FBbt:00110241	DO5 motor neuron	DO5	MN20-Ib		FBbt:00111037	larval abdominal 5 neuromere	A5	abdominal 6	A6	FBbt:00000878	muscle cell of abdominal 6 dorsal oblique muscle 5								
FBbt:00048759	larval DO5 motor neuron of abdominal 6 neuromere	FBbt:00110241	DO5 motor neuron	DO5	MN20-Ib		FBbt:00111038	larval abdominal 6 neuromere	A6	abdominal 7	A7	FBbt:00000923	muscle cell of abdominal 7 dorsal oblique muscle 5								
