defined_class	defined_class_label	IL_position	H_position	neuroblast	neuroblast_label	soma	soma_label	nb_label	ito_lee	hartenstein	reference	hartenstein_synonym_type	ito_lee_synonym_type
FBbt:00053611		ventral	ventral	FBbt:00067347	neuroblast BAlc	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BAlc ventral hemilineage neuron	ALl1 ventral hemilineage neuron	BAlc ventral hemilineage neuron	FlyBase:FBrf0246460|FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053612		dorsal	dorsal	FBbt:00100545	neuroblast DALcl1	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	DALcl1 dorsal hemilineage neuron	AOTUv3 dorsal hemilineage neuron	DALcl1 dorsal hemilineage neuron	FlyBase:FBrf0260535|FlyBase:FBrf0223298|FlyBase:FBrf0240929	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053613		ventral	ventral	FBbt:00100545	neuroblast DALcl1	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	DALcl1 ventral hemilineage neuron	AOTUv3 ventral hemilineage neuron	DALcl1 ventral hemilineage neuron	FlyBase:FBrf0260535|FlyBase:FBrf0223298|FlyBase:FBrf0240929	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053614		dorsal	dorsal	FBbt:00100546	neuroblast DALcl2	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	DALcl2 dorsal hemilineage neuron	AOTUv4 dorsal hemilineage neuron	DALcl2 dorsal hemilineage neuron	FlyBase:FBrf0260535|FlyBase:FBrf0240929	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053615		ventral	ventral	FBbt:00100546	neuroblast DALcl2	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	DALcl2 ventral hemilineage neuron	AOTUv4 ventral hemilineage neuron	DALcl2 ventral hemilineage neuron	FlyBase:FBrf0260535|FlyBase:FBrf0240929	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053616		medial	medial	FBbt:00100548	neuroblast DALcm1	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	DALcm1 medial hemilineage neuron	CREa2 medial hemilineage neuron	DALcm1 medial hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053617		ventral	ventral	FBbt:00100548	neuroblast DALcm1	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	DALcm1 ventral hemilineage neuron	CREa2 ventral hemilineage neuron	DALcm1 ventral hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053618		medial	medial	FBbt:00100549	neuroblast DALcm2	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	DALcm2 medial hemilineage neuron	AOTUv1 medial hemilineage neuron	DALcm2 medial hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053619		ventral	ventral	FBbt:00100549	neuroblast DALcm2	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	DALcm2 ventral hemilineage neuron	AOTUv1 ventral hemilineage neuron	DALcm2 ventral hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
FBbt:00053620		dorsal	dorsal	FBbt:00100551	neuroblast BAmd1	FBbt:00007114|FBbt:00005095	cell body rind of the central nervous system|brain	BAmd1 dorsal hemilineage neuron	CREa1 dorsal hemilineage neuron	BAmd1 dorsal hemilineage neuron	FlyBase:FBrf0260535	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE
