symbol	FBbt_id	reference
AN06B009	FBbt:20007796	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B011	FBbt:20007797	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B012	FBbt:20007798	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B014	FBbt:20007799	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B015	FBbt:20007800	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B023	FBbt:20007801	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B026	FBbt:20007803	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B031	FBbt:20007804	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B034	FBbt:20007805	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B037	FBbt:20007806	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B039	FBbt:20007807	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B040	FBbt:20007808	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B042	FBbt:20007809	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B044	FBbt:20007810	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B045	FBbt:20007811	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B046	FBbt:20007812	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B048	FBbt:20007813	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B051	FBbt:20007814	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B057	FBbt:20007815	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B068	FBbt:20007816	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B075	FBbt:20007817	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B003	FBbt:20007818	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B004	FBbt:20007819	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B005	FBbt:20007820	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B011	FBbt:20007821	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B013	FBbt:20007822	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B015	FBbt:20007823	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B017	FBbt:20007824	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B018	FBbt:20007825	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B021	FBbt:20007826	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B024	FBbt:20007827	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B025	FBbt:20007828	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B032	FBbt:20007829	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B035	FBbt:20007830	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B036	FBbt:20007831	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B037	FBbt:20007832	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B040	FBbt:20007833	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B041	FBbt:20007834	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B042	FBbt:20007835	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B043	FBbt:20007836	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B045	FBbt:20007837	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B046	FBbt:20007838	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B049	FBbt:20007839	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B050	FBbt:20007840	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B051	FBbt:20007841	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B052	FBbt:20007842	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B056	FBbt:20007843	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B057	FBbt:20007844	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B060	FBbt:20007845	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B062	FBbt:20007846	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B063	FBbt:20007847	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B069	FBbt:20007848	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B070	FBbt:20007849	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B071	FBbt:20007850	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B072	FBbt:20007851	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B076	FBbt:20007852	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B078	FBbt:20007853	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B082	FBbt:20007854	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B085	FBbt:20007855	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B088	FBbt:20007856	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B089	FBbt:20007857	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B091	FBbt:20007858	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN07B095	FBbt:20007859	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
