np_type	FBbt_id	FBbt_name	pub	comment	specificity	notes	notes_2
AVLP053	FBbt:20000162	adult anterior ventrolateral protocerebrum neuron 053					
AVLP054	FBbt:20000163	adult anterior ventrolateral protocerebrum neuron 054					
AVLP055	FBbt:20000164	adult anterior ventrolateral protocerebrum neuron 055					
AVLP056	FBbt:20000165	adult anterior ventrolateral protocerebrum neuron 056					
AVLP057	FBbt:20000166	adult anterior ventrolateral protocerebrum neuron 057					
AVLP058	FBbt:20000167	adult anterior ventrolateral protocerebrum neuron 058					
AVLP059	FBbt:20000168	adult anterior ventrolateral protocerebrum neuron 059					
AVLP060	FBbt:20000169	adult anterior ventrolateral protocerebrum neuron 060					
AVLP061	FBbt:20000170	adult anterior ventrolateral protocerebrum neuron 061					
AVLP062	FBbt:20000171	adult anterior ventrolateral protocerebrum neuron 062					
AVLP063	FBbt:20000172	adult anterior ventrolateral protocerebrum neuron 063					
AVLP064	FBbt:20000173	adult anterior ventrolateral protocerebrum neuron 064					
AVLP065	FBbt:20000174	adult anterior ventrolateral protocerebrum neuron 065					
AVLP066	FBbt:20000175	adult anterior ventrolateral protocerebrum neuron 066					
AVLP067	FBbt:20000176	adult anterior ventrolateral protocerebrum neuron 067					
AVLP068	FBbt:20000177	adult anterior ventrolateral protocerebrum neuron 068					
AVLP069_a	FBbt:20000178	adult anterior ventrolateral protocerebrum neuron 069					
AVLP069_b	FBbt:20000178	adult anterior ventrolateral protocerebrum neuron 069					
AVLP069_c	FBbt:20000178	adult anterior ventrolateral protocerebrum neuron 069					
AVLP070	FBbt:20000179	adult anterior ventrolateral protocerebrum neuron 070					
AVLP071	FBbt:20000180	adult anterior ventrolateral protocerebrum neuron 071					
AVLP072_a	FBbt:20000181	adult anterior ventrolateral protocerebrum neuron 072					
AVLP072_b	FBbt:20000181	adult anterior ventrolateral protocerebrum neuron 072					
AVLP073	FBbt:20000182	adult anterior ventrolateral protocerebrum neuron 073					
AVLP074	FBbt:20000183	adult anterior ventrolateral protocerebrum neuron 074					
AVLP075	FBbt:20000184	adult anterior ventrolateral protocerebrum neuron 075					
AVLP076	FBbt:20000185	adult anterior ventrolateral protocerebrum neuron 076					
AVLP077	FBbt:20000186	adult anterior ventrolateral protocerebrum neuron 077					
AVLP078	FBbt:20000187	adult anterior ventrolateral protocerebrum neuron 078					
AVLP079	FBbt:20000188	adult anterior ventrolateral protocerebrum neuron 079					
AVLP080	FBbt:20000189	adult anterior ventrolateral protocerebrum neuron 080					
AVLP081	FBbt:20000190	adult anterior ventrolateral protocerebrum neuron 081					
AVLP082	FBbt:20000191	adult anterior ventrolateral protocerebrum neuron 082					
AVLP083	FBbt:20000192	adult anterior ventrolateral protocerebrum neuron 083					
AVLP084	FBbt:20000193	adult anterior ventrolateral protocerebrum neuron 084					
AVLP085	FBbt:20000194	adult anterior ventrolateral protocerebrum neuron 085					
AVLP086	FBbt:20000195	adult anterior ventrolateral protocerebrum neuron 086					
AVLP087	FBbt:20000196	adult anterior ventrolateral protocerebrum neuron 087					
AVLP088	FBbt:20000197	adult anterior ventrolateral protocerebrum neuron 088					
AVLP089	FBbt:20000198	adult anterior ventrolateral protocerebrum neuron 089					
AVLP090	FBbt:20000199	adult anterior ventrolateral protocerebrum neuron 090					
