group	OL_type	Matsliah_type	Schlegel_type	hemibrain_type	OL	Matsliah	Schlegel_L	Schlegel_R	matched as	Notes	specificity	FBbt_id	FBbt_name
VPN	MeVP59		MTe01b	MC66	2		25	27	4-to-1		parent_term	FBbt:20007682	adult medulla tangential neuron e01b
VPN	MeVP6		MTe01a	MC66	49		41	46	1-to-1			FBbt:20007610	adult medulla visual projection neuron MeVP6
VPN	MeVP60		MTe39		1		1	1	1-to-1			FBbt:20007648	adult medulla tangential neuron e39
VPN	MeVP61		MTe36		1		1	1	1-to-1			FBbt:20007645	adult medulla tangential neuron e36
VPN	MeVP62		MC65	MC65	3		3	3	1-to-1			FBbt:20011488	adult medulla visual projection neuron MeVP62
VPN	MeVP63		MTe48	hb540674783	1		1	1	1-to-1			FBbt:20007657	adult medulla visual projection neuron MeVP63
VPN	MeVP64				1				unmatched			FBbt:20011489	adult medulla visual projection neuron MeVP64
VPN	MeVP7		MTe01b	MC66	12		25	27	4-to-1		parent_term	FBbt:20007682	adult medulla tangential neuron e01b
VPN	MeVP8		MTe01b	MC66	6		25	27	4-to-1		parent_term	FBbt:20007682	adult medulla tangential neuron e01b
VPN	MeVP9		MTe01b	MC66	5		25	27	4-to-1		parent_term	FBbt:20007682	adult medulla tangential neuron e01b
VPN	MeVPaMe1		MTe46		1		2	1	1-to-1			FBbt:20007655	adult medulla tangential neuron e46
VPN	MeVPaMe2		aMe19a	aMe19a	1		1	1	1-to-1			FBbt:00053510	adult medulla visual projection neuron MeVPaMe2
VPN	MeVPLo1		MTe47		2		2	2	1-to-1			FBbt:20007656	adult medulla tangential neuron e47
VPN	MeVPLo2		MTe07	hb1190339995,hb5812983942,hb974498428,hb1036546847,hb5813016743	7		9	6	1-to-1			FBbt:20007616	adult medulla visual projection neuron MeVPLo2
VPN	MeVPLp1		MeLp1	hb5813068976	1		1	1	1-to-1			FBbt:20007600	adult medulla visual projection neuron MeVPLp1
VPN	MeVPLp2		MeLp2		1		1	1	1-to-1			FBbt:20007601	adult medulla visual projection neuron MeVPLp2
VPN	MeVPMe1		MeMe_e08		6		6	6	1-to-1			FBbt:20007609	adult medulla visual projection neuron MeVPMe1
VPN	MeVPMe10		MeMe_e10		2		2	2	1-to-1			FBbt:20004126	adult MeMe_e10 neuron
VPN	MeVPMe11		aMe19b	aMe19b	1		1	1	1-to-1			FBbt:00053511	adult medulla visual projection neuron MeVPMe11
VPN	MeVPMe12		MeMe_e11		2		2	2	1-to-1			FBbt:20004523	adult medulla visual projection neuron MeVPMe12
VPN	MeVPMe13		MeMe_e12		1		1	1	1-to-1			FBbt:20004313	adult medulla visual projection neuron MeVPMe13
VPN	MeVPMe2		MeMe_e07		5		5	5	1-to-1			FBbt:20007608	adult medulla visual projection neuron MeVPMe2
VPN	MeVPMe3		MeMe_e05		1		1	1	1-to-1			FBbt:20007606	adult MeMe_e05 neuron
VPN	MeVPMe4		MeMe_e06		1		1	1	1-to-1			FBbt:20007607	adult MeMe_e06 neuron
VPN	MeVPMe5		MeMe_e02		10		8	9	1-to-1			FBbt:20007603	adult medulla visual projection neuron MeVPMe5
VPN	MeVPMe6		MeMe_e03	hb1592874539	1		1	1	1-to-1			FBbt:20007604	adult MeMe_e03 neuron
VPN	MeVPMe7		MeMe_e09		1		1	1	1-to-1			FBbt:20003958	adult MeMe_e09 neuron
VPN	MeVPMe8		MeMe_e04		2		2	2	1-to-1			FBbt:20007605	adult MeMe_e04 neuron
VPN	MeVPMe9		MeMe_e01		6		7	6	1-to-1			FBbt:20007602	adult MeMe_e01 neuron
VPN	MeVPOL1		MeMe_e13		1		1	1	1-to-1			FBbt:20004334	adult medulla visual projection neuron MeVPOL1
VPN	Nod1		Nod1		2		2	2	1-to-1			FBbt:00053412	lobula plate tangential neuron Nod1
VPN	Nod2		Nod2	hb1315529069	1		1	1	1-to-1			FBbt:00053413	lobula plate tangential neuron Nod2
VPN	Nod3		Nod3	hb1352706891	1		1	1	1-to-1			FBbt:00053414	lobula plate tangential neuron Nod3
VPN	Nod4		LPT42_Nod4		1		1	1	1-to-1			FBbt:00053415	lobula plate tangential neuron Nod4
VPN	Nod5		Nod5		1		1	1	1-to-1			FBbt:00053416	lobula plate tangential neuron Nod5
VPN	s-LNv		s-LNv_b	s-LNv	4		4	4	1-to-1		parent_term	FBbt:00007428	adult s-LNv neuron
VPN	SLP249		SLP249	SLP249	2		2	2	1-to-1			FBbt:20002643	adult superior lateral protocerebrum neuron 249
VPN	SLP250		LTe71	SLP250	1		1	1	1-to-1			FBbt:20002644	adult superior lateral protocerebrum neuron 250
VPN	SMP217		CB1791		2		8	10	1-to-1			FBbt:20003079	adult superior medial protocerebrum neuron 217
VPN	vCal1		vCal1	PLP127	1		1	1	1-to-1			FBbt:20001627	lobula plate tangential neuron vCal1
VPN	vCal2		LPT47_vCal2		1		1	1	1-to-1			FBbt:00053417	lobula plate tangential neuron vCal2
VPN	vCal3		LPT48_vCal3		1		1	1	1-to-1			FBbt:00053418	lobula plate tangential neuron vCal3
VPN	VS		VS1+VS2+VS3+VS4+VS5+VS6+VS7+VS8		9				1-to-8	Candidate matches for individual VS cells to the subtypes in Zhao et al 2024 in the optic-lobe dataset are VS1 (bodyId 10012), VS2 (10037), VS3(10112), VS(10284,10206),VS5 (10311),VS6(10403),VS7(10766) and VS8 (11551).	parent_term	FBbt:00007516	vertical system neuron
VPN	VSm		VSm	VS	2		2	2	1-to-1			FBbt:00053494	vertical system-like neuron VSm
VPN	VST1		VST1		3		2	2	1-to-1			FBbt:00048129	vertical system twin neuron 1
VPN	VST2		VST2		4		4	4	1-to-1			FBbt:00048130	vertical system twin neuron 2
VPN			LTe12				1	1	unmatched	LoVP109 (named based on LM data, not found in OL dataset)		FBbt:20007573	adult lobula visual projection neuron LoVP109
