accession	type	class	superclass	subclass	fruDsx	synonyms	hemibrainType	flywireType	mancType	somaNeuromere	specificity	FBbt_id	FBbt_name	references
119230	CL128_e		cb_intrinsic				CL128	CL128b			parent_term	FBbt:20000833	adult clamp neuron 128	
166028	WED166_d		cb_intrinsic				WED166_c,WED027	WED166_c,WED027			parent_term	FBbt:20003716	adult wedge neuron 166	
15304	LAL156_b		cb_intrinsic				LAL156	LAL156b			parent_term	FBbt:20001452	adult lateral accessory lobe neuron 156	
513553	PS005_e		cb_intrinsic				PS005_e	CB4001			parent_term	FBbt:20001760	adult posterior slope neuron 005	
16903	AVLP470_b		cb_intrinsic				AVLP470	AVLP470b			parent_term	FBbt:20000579	adult anterior ventrolateral protocerebrum neuron 470	
16313	CL070_b		cb_intrinsic				CL070	CL070b			parent_term	FBbt:20000775	adult clamp neuron 070	
23775	AOTU016_b		cb_intrinsic				AOTU016	CB0007,CB0739			parent_term	FBbt:20000015	adult anterior optic tubercle neuron 016	
18187	CL123_e		cb_intrinsic		fru_low	Cachero 2010: aDT-d	CL123	CL123,CRE061			parent_term	FBbt:20000828	adult clamp neuron 123	
511777	ER3a_b	CX	cb_intrinsic				ER3a_b	ER3a			parent_term	FBbt:00047039	adult ellipsoid body ring neuron R3a	
512047	AVLP475_b		cb_intrinsic				AVLP475	AVLP475b			parent_term	FBbt:20000584	adult anterior ventrolateral protocerebrum neuron 475	
519329	ER3a_d	CX	cb_intrinsic				ER3a_d	ER3a			parent_term	FBbt:00047039	adult ellipsoid body ring neuron R3a	
192829	SIP003_b		cb_intrinsic				SIP003_b	SIP003_b			parent_term	FBbt:20002307	adult superior intermediate protocerebrum neuron 003	
15792	CL071_b		cb_intrinsic				CL071	CL071b			parent_term	FBbt:20000776	adult clamp neuron 071	
13986	AVLP299_d		cb_intrinsic		fru_high	Cachero 2010: aIP-b	AVLP299	AVLP299_c			parent_term	FBbt:20000408	adult anterior ventrolateral protocerebrum neuron 299	
16031	LNd_b		cb_intrinsic		fru_high	Cachero 2010: aSP-l		LNd_b			parent_term	FBbt:00004045	LNd neuron	
213070	LHAV9a1_c		cb_intrinsic				LHAV9a1_c	LHAV9a1_c			parent_term	FBbt:00051752	adult lateral horn AV9a1 neuron	
63025	PVLP008_c		cb_intrinsic				PVLP008_c	CB4050			parent_term	FBbt:20002066	adult posterior ventrolateral protocerebrum neuron 008	
68356	PLP042_b		cb_intrinsic				PLP042_b	PLP042c			parent_term	FBbt:20001542	adult posterior lateral protocerebrum neuron 042	
98923	AOTU016_b		cb_intrinsic				AOTU016	CB0007,CB0739			parent_term	FBbt:20000015	adult anterior optic tubercle neuron 016	
14056	PS048_b		cb_intrinsic				PS048	PS048a			parent_term	FBbt:20001803	adult posterior slope neuron 048	
512701	AVLP176_c		cb_intrinsic				AVLP176_c	CB2511			parent_term	FBbt:20000285	adult anterior ventrolateral protocerebrum neuron 176	
524016	AVLP296_a		cb_intrinsic				AVLP296	AVLP300_a			parent_term	FBbt:20000405	adult anterior ventrolateral protocerebrum neuron 296	
10650	lLN2T_c	ALLN	cb_intrinsic				lLN2T_c	lLN2T_c		DC	parent_term	FBbt:00049816	adult antennal lobe local neuron lLN2T	
12206	LAL120_a		cb_intrinsic		fru_low		LAL120	LAL120			parent_term	FBbt:20001416	adult lateral accessory lobe neuron 120	
33911	ER3a_b	CX	cb_intrinsic				ER3a_b	ER3a			parent_term	FBbt:00047039	adult ellipsoid body ring neuron R3a	
513081	CL070_a		cb_intrinsic				CL070	CL070a			parent_term	FBbt:20000775	adult clamp neuron 070	
19458	CL122_b		cb_intrinsic		fru_low	Cachero 2010: aDT-g; Yu 2010: aDT5	CL122	CB3978			parent_term	FBbt:20000827	adult clamp neuron 122	
125915	PS005_f		cb_intrinsic				PS005_f	CB4003			parent_term	FBbt:20001760	adult posterior slope neuron 005	
518506	PLP042_a		cb_intrinsic				PLP042_a	PLP042b			parent_term	FBbt:20001542	adult posterior lateral protocerebrum neuron 042	
17784	AVLP024_b		cb_intrinsic				AVLP024	AVLP024b			parent_term	FBbt:20000133	adult anterior ventrolateral protocerebrum neuron 024	
15445	PS083_c		cb_intrinsic		fru_low	Cachero 2010: aSP-i; Yu 2010: aSP11	PS083	PS083_c			parent_term	FBbt:20001838	adult posterior slope neuron 083	
67789	LAL030_b		cb_intrinsic				LAL030_b	LAL030d			parent_term	FBbt:20001326	adult lateral accessory lobe neuron 030	
518850	WED146_c		cb_intrinsic		fru_high		WED146	WED146b			parent_term	FBbt:20003696	adult wedge neuron 146	
55532	PLP064_a		cb_intrinsic				PLP064_a	PLP064_a			parent_term	FBbt:20001564	adult posterior lateral protocerebrum neuron 064	
16320	LNd_c		cb_intrinsic		fru_high	Cachero 2010: aSP-l		LNd_c			parent_term	FBbt:00004045	LNd neuron	
66895	CB1394_b		cb_intrinsic					CB1394_b		CG	parent_term	FBbt:20005044	adult CB1394 neuron	
537027	PS099_a		cb_intrinsic				PS099	PS099b			parent_term	FBbt:20001854	adult posterior slope neuron 099	
32344	LHAV2g2_b		cb_intrinsic				LHAV2g2_b	LHAV2g2_b			parent_term	FBbt:00051655	adult lateral horn AV2g2 neuron	
21897	PLP064_b		cb_intrinsic				PLP064_b	PLP064_b			parent_term	FBbt:20001564	adult posterior lateral protocerebrum neuron 064	
