flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	specificity	FBbt_id	FBbt_name
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_6		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_7		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_8		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_9		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_PVLP	AN_AVLP_PVLP_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_PVLP	AN_AVLP_PVLP_10		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_PVLP	AN_AVLP_PVLP_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_PVLP	AN_AVLP_PVLP_3		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_PVLP	AN_AVLP_PVLP_4		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_PVLP	AN_AVLP_PVLP_5	1197455013		FBbt:20004423	adult AN_AVLP_PVLP_5 neuron
afferent	ascending	AN	AN_AVLP_PVLP	AN_AVLP_PVLP_6		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_PVLP	AN_AVLP_PVLP_7		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_PVLP	AN_AVLP_PVLP_8		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_PVLP	AN_AVLP_PVLP_9		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_SAD	AN_AVLP_SAD_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_SAD	AN_AVLP_SAD_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_SAD	AN_AVLP_SAD_3		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_SAD	AN_AVLP_SAD_5		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_FLA	AN_FLA_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_FLA_GNG	AN_FLA_GNG_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_FLA_GNG	AN_FLA_GNG_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_FLA_PRW	AN_FLA_PRW_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_FLA_PRW	AN_FLA_PRW_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_FLA_SMP	AN_FLA_SMP_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_FLA_SMP	AN_FLA_SMP_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_FLA_VES	AN_FLA_VES_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_FLA_VES_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_FLA_VES_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_10		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_100		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_101		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_102		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_103		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_104		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_105		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_106		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_107		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_108		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_109		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_11		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_110		general_term	FBbt:00048301	adult ascending neuron
