systematicType	type	FBbt_id	FBbt_name	notes	mapping_ref	specificity
INXXX458	INXXX458	FBbt:20011114	adult INXXX458 neuron			
INXXX459	INXXX459	FBbt:20011115	adult INXXX459 neuron			
INXXX460	INXXX460	FBbt:20011116	adult INXXX460 neuron			
INXXX464	INXXX464	FBbt:20011117	adult INXXX464 neuron			
INXXX466	INXXX466	FBbt:20011118	adult INXXX466 neuron			
INXXX467	INXXX467	FBbt:20011119	adult INXXX467 neuron			
INXXX468	INXXX468	FBbt:20011120	adult INXXX468 neuron			
INXXX469	INXXX469	FBbt:20011121	adult INXXX469 neuron			
MNad01	MNad01	FBbt:20011122	adult MNad01 neuron			
MNad02	MNad02	FBbt:20011123	adult MNad02 neuron			
MNad03	MNad03	FBbt:20011124	adult MNad03 neuron			
MNad04	MNad04	FBbt:20011125	adult MNad04 neuron			
MNad05	MNad05	FBbt:20011126	adult MNad05 neuron			
MNad06	MNad06	FBbt:20011127	adult MNad06 neuron			
MNad07	MNad07	FBbt:00048235	adult motor neuron			
MNad08	MNad08	FBbt:20011128	adult MNad08 neuron			
MNad09	MNad09	FBbt:20011129	adult MNad09 neuron			
MNad10	MNad10	FBbt:20011130	adult MNad10 neuron			
MNad11	MNad11	FBbt:20011131	adult MNad11 neuron			
MNad12	MNad12	FBbt:20011132	adult MNad12 neuron			
MNad13	MNad13	FBbt:20011133	adult MNad13 neuron			
MNad14	MNad14	FBbt:20011134	adult MNad14 neuron			
MNad15	MNad15	FBbt:20011135	adult MNad15 neuron			
MNad16	MNad16	FBbt:20011136	adult MNad16 neuron			
MNad17	MNad17	FBbt:20011137	adult MNad17 neuron			
MNad18	MNad18	FBbt:20011138	adult MNad18 neuron			
MNad19	MNad19	FBbt:20011139	adult MNad19 neuron			
MNad20	MNad20	FBbt:20011140	adult MNad20 neuron			
MNad21	MNad21	FBbt:20011141	adult MNad21 neuron			
MNad22	MNad22	FBbt:20011142	adult MNad22 neuron			
MNad23	MNad23	FBbt:20011143	adult MNad23 neuron			
MNad24	MNad24	FBbt:20011144	adult MNad24 neuron			
MNad25	MNad25	FBbt:20011145	adult MNad25 neuron			
MNad26	MNad26	FBbt:20011146	adult MNad26 neuron			
MNad27	MNad27	FBbt:20011147	adult MNad27 neuron			
MNad28	MNad28	FBbt:20011148	adult MNad28 neuron			
MNad29	MNad29	FBbt:20011149	adult MNad29 neuron			
MNad30	MNad30	FBbt:20011150	adult MNad30 neuron			
MNad31	MNad31	FBbt:20011151	adult MNad31 neuron			
MNad32	MNad32	FBbt:20011152	adult MNad32 neuron			
MNad33	MNad33	FBbt:20011153	adult MNad33 neuron			
MNad34	MNad34	FBbt:20011154	adult MNad34 neuron			
MNad35	MNad35	FBbt:20011155	adult MNad35 neuron			
MNad36	MNad36	FBbt:20011156	adult MNad36 neuron			
MNad37	MNad37	FBbt:20011157	adult MNad37 neuron			
MNad38	MNad38	FBbt:20011158	adult MNad38 neuron			
MNad39	MNad39	FBbt:20011159	adult MNad39 neuron			
MNad40	MNad40	FBbt:20011160	adult MNad40 neuron			
MNad41	MNad41	FBbt:20011161	adult MNad41 neuron			
MNad42	MNad42	FBbt:20011162	adult MNad42 neuron			
MNad43	MNad43	FBbt:20011163	adult MNad43 neuron			
MNad44	MNad44	FBbt:20011164	adult MNad44 neuron			
MNad45	MNad45	FBbt:20011165	adult MNad45 neuron			
MNad46	MNad46	FBbt:20011166	adult MNad46 neuron			
MNad47	MNad47	FBbt:20011167	adult MNad47 neuron			
MNad48	MNad48	FBbt:20011168	adult MNad48 neuron			
MNad49	MNad49	FBbt:20011169	adult MNad49 neuron			
MNad50	MNad50	FBbt:20011170	adult MNad50 neuron			
MNad51	MNad51	FBbt:20011171	adult MNad51 neuron			
MNad52	MNad52	FBbt:20011172	adult MNad52 neuron			
MNad53	MNad53	FBbt:20011173	adult MNad53 neuron			
MNad54	MNad54	FBbt:20011174	adult MNad54 neuron			
MNad55	MNad55	FBbt:20011175	adult MNad55 neuron			
MNad56	MNad56	FBbt:20011176	adult MNad56 neuron			
MNad57	MNad57	FBbt:20011177	adult MNad57 neuron			
MNad58	MNad58	FBbt:20011178	adult MNad58 neuron			
MNad59	MNad59	FBbt:20011179	adult MNad59 neuron			
MNad61	MNad61	FBbt:20011180	adult MNad61 neuron			
MNad62	MNad62	FBbt:20011181	adult MNad62 neuron			
MNad63	MNad63	FBbt:20011182	adult MNad63 neuron			
MNad64	MNad64	FBbt:20011183	adult MNad64 neuron			
MNad65	MNad65	FBbt:20011184	adult MNad65 neuron			
MNad66	MNad66	FBbt:20011185	adult MNad66 neuron			
MNad67	MNad67	FBbt:20011186	adult MNad67 neuron			
MNad68	MNad68	FBbt:20011187	adult MNad68 neuron			
MNad69	MNad69	FBbt:20011188	adult MNad69 neuron			
MNfl03	Fe reductor MN	FBbt:00053117	prothoracic femoral reductor muscle motor neuron			parent_term
MNfl04	ltm MN	FBbt:00053060	pretarsal depressor muscle motor neuron			parent_term
MNfl05	Tr flexor MN	FBbt:00053160	prothoracic intracoxal trochanter levator muscle motor neuron			parent_term
MNfl06	Sternal posterior rotator MN	FBbt:00053103	prothoracic sternal posterior rotator muscle motor neuron			parent_term
MNfl07	Tr flexor MN	FBbt:00053160	prothoracic intracoxal trochanter levator muscle motor neuron			parent_term
MNfl08	Sternotrochanter MN	FBbt:00053108	prothoracic sternotrochanter extensor muscle motor neuron			parent_term
MNfl09	Tr extensor MN	FBbt:00053157	prothoracic intracoxal trochanter depressor muscle motor neuron			parent_term
MNfl10	MNfl10	FBbt:20011189	adult MNfl10 neuron			
MNfl11	Tr flexor MN	FBbt:00053160	prothoracic intracoxal trochanter levator muscle motor neuron			parent_term
MNfl12	Tr flexor MN	FBbt:00053160	prothoracic intracoxal trochanter levator muscle motor neuron			parent_term
MNfl13	Fe reductor MN	FBbt:00053117	prothoracic femoral reductor muscle motor neuron			parent_term
MNfl14	Acc. tr flexor MN	FBbt:00053114	prothoracic accessory trochanter levator muscle motor neuron			
MNfl15	ltm2-femur MN	FBbt:00052600	prothoracic femoral pretarsal depressor muscle motor neuron			parent_term
MNfl16	Sternal adductor MN	FBbt:00053102	prothoracic sternal adductor muscle motor neuron			
MNfl17	Pleural remotor/abductor MN	FBbt:00053104	prothoracic pleural remotor and abductor muscle motor neuron			parent_term
MNfl18	Tergotr. MN	FBbt:00053107	prothoracic tergotrochanter extensor muscle motor neuron			parent_term
MNfl19	ltm1-tibia MN	FBbt:00052599	prothoracic tibial pretarsal depressor muscle motor neuron			parent_term
MNfl20	Tergotr. MN	FBbt:00053107	prothoracic tergotrochanter extensor muscle motor neuron			parent_term
MNfl21	Ti flexor MN	FBbt:00053130	prothoracic tibial depressor motor neuron			parent_term
MNfl22	Sternotrochanter MN	FBbt:00053108	prothoracic sternotrochanter extensor muscle motor neuron			parent_term
MNfl23	ltm MN	FBbt:00053060	pretarsal depressor muscle motor neuron			parent_term
MNfl24	Acc. ti flexor MN	FBbt:00053130	prothoracic tibial depressor motor neuron		doi:10.7554/eLife.96084.1	parent_term
MNfl25	Acc. ti flexor MN	FBbt:00053130	prothoracic tibial depressor motor neuron		doi:10.7554/eLife.96084.1	parent_term
MNfl26	Acc. ti flexor MN	FBbt:00053130	prothoracic tibial depressor motor neuron		doi:10.7554/eLife.96084.1	parent_term
MNfl27	Acc. ti flexor MN	FBbt:00053130	prothoracic tibial depressor motor neuron		doi:10.7554/eLife.96084.1	parent_term
MNfl28	Acc. ti flexor MN	FBbt:00053130	prothoracic tibial depressor motor neuron		doi:10.7554/eLife.96084.1	parent_term
MNfl30	Ti flexor MN	FBbt:00053130	prothoracic tibial depressor motor neuron			parent_term
MNfl31	Pleural remotor/abductor MN	FBbt:00053104	prothoracic pleural remotor and abductor muscle motor neuron			parent_term
MNfl32	ltm MN	FBbt:00053060	pretarsal depressor muscle motor neuron			parent_term
MNfl33	Sternal posterior rotator MN	FBbt:00053103	prothoracic sternal posterior rotator muscle motor neuron			parent_term
MNfl34	Sternal posterior rotator MN	FBbt:00053103	prothoracic sternal posterior rotator muscle motor neuron			parent_term
MNfl35	Fe reductor MN	FBbt:00053117	prothoracic femoral reductor muscle motor neuron			parent_term
MNfl36	Sternal anterior rotator MN	FBbt:00053101	prothoracic sternal anterior rotator muscle motor neuron			
MNfl37	Tr extensor MN	FBbt:00053157	prothoracic intracoxal trochanter depressor muscle motor neuron			parent_term
MNfl38	ltm1-tibia MN	FBbt:00052599	prothoracic tibial pretarsal depressor muscle motor neuron			parent_term
MNfl39	Ti extensor MN	FBbt:00053121	prothoracic tibial levator muscle motor neuron			parent_term
MNfl40	Ti flexor MN	FBbt:00053130	prothoracic tibial depressor motor neuron			parent_term
MNfl41	Ti extensor MN	FBbt:00053121	prothoracic tibial levator muscle motor neuron			parent_term
MNfl42	Acc. ti flexor MN	FBbt:00053130	prothoracic tibial depressor motor neuron		doi:10.7554/eLife.96084.1	parent_term
MNfl43	Acc. ti flexor MN	FBbt:00053130	prothoracic tibial depressor motor neuron		doi:10.7554/eLife.96084.1	parent_term
MNfl44	Fe reductor MN	FBbt:00053117	prothoracic femoral reductor muscle motor neuron			parent_term
MNfl45	ltm MN	FBbt:00053060	pretarsal depressor muscle motor neuron			parent_term
MNfl46	Ta depressor MN	FBbt:00053070	prothoracic tarsal depressor muscle motor neuron			parent_term
MNfl47	Ta depressor MN	FBbt:00053070	prothoracic tarsal depressor muscle motor neuron			parent_term
MNfl48	Ta depressor MN	FBbt:00053070	prothoracic tarsal depressor muscle motor neuron			parent_term
MNfl49	Ta depressor MN	FBbt:00053070	prothoracic tarsal depressor muscle motor neuron			parent_term
MNfl50	Ta depressor MN	FBbt:00053070	prothoracic tarsal depressor muscle motor neuron			parent_term
MNfl51	Ta levator MN	FBbt:00053069	prothoracic tarsal levator muscle motor neuron			parent_term
MNfl52	Ta levator MN	FBbt:00053069	prothoracic tarsal levator muscle motor neuron			parent_term
MNfl53	Tergopleural/Pleural promotor MN	FBbt:00053100	motor neuron of adult dorsal prothoracic nerve			parent_term
MNfl54	Tergopleural/Pleural promotor MN	FBbt:00053100	motor neuron of adult dorsal prothoracic nerve			parent_term
MNfl55	Tergopleural/Pleural promotor MN	FBbt:00053100	motor neuron of adult dorsal prothoracic nerve			parent_term
MNfl56	Tergopleural/Pleural promotor MN	FBbt:00053100	motor neuron of adult dorsal prothoracic nerve			parent_term
MNfl57	Tergotr. MN	FBbt:00053107	prothoracic tergotrochanter extensor muscle motor neuron			parent_term
MNfl58	Tr flexor MN	FBbt:00053160	prothoracic intracoxal trochanter levator muscle motor neuron			parent_term
MNhl01	MNhl01	FBbt:20011190	adult MNhl01 neuron			
MNhl02	MNhl02	FBbt:20011191	adult MNhl02 neuron			
MNhl04	ltm MN	FBbt:00053060	pretarsal depressor muscle motor neuron			parent_term
MNhl05	Tr flexor MN	FBbt:00053162	metathoracic intracoxal trochanter levator muscle motor neuron			parent_term
MNhl06	Sternal posterior rotator MN	FBbt:00049571	metathoracic leg muscle motor neuron	no mt sternal post rotator		flag
MNhl07	Tr flexor MN	FBbt:00053162	metathoracic intracoxal trochanter levator muscle motor neuron			parent_term
MNhl08	Sternotrochanter MN	FBbt:00053155	metathoracic sternotrochanter extensor muscle motor neuron			parent_term
MNhl09	Tr extensor MN	FBbt:00053159	metathoracic intracoxal trochanter depressor muscle motor neuron			parent_term
MNhl11	Tr flexor MN	FBbt:00053162	metathoracic intracoxal trochanter levator muscle motor neuron			parent_term
MNhl12	Tr flexor MN	FBbt:00053162	metathoracic intracoxal trochanter levator muscle motor neuron			parent_term
MNhl13	Fe reductor MN	FBbt:00053119	metathoracic femoral reductor muscle motor neuron			parent_term
MNhl14	Acc. tr flexor MN	FBbt:00053116	metathoracic accessory trochanter levator muscle motor neuron			
MNhl15	ltm2-femur MN	FBbt:00053148	metathoracic femoral pretarsal depressor muscle motor neuron			parent_term
MNhl16	Sternal adductor MN	FBbt:00049571	metathoracic leg muscle motor neuron	no mt sternal adductor		flag
MNhl17	Pleural remotor/abductor MN	FBbt:00053151	metathoracic pleural remotor muscle motor neuron			
MNhl18	Tergotr. MN	FBbt:00053156	metathoracic tergotrochanter extensor muscle motor neuron			parent_term
MNhl19	ltm1-tibia MN	FBbt:00053146	metathoracic tibial pretarsal depressor muscle motor neuron			parent_term
MNhl21	Ti flexor MN	FBbt:00053132	metathoracic tibial depressor motor neuron			parent_term
MNhl22	Sternotrochanter MN	FBbt:00053155	metathoracic sternotrochanter extensor muscle motor neuron			parent_term
MNhl23	ltm MN	FBbt:00053060	pretarsal depressor muscle motor neuron			parent_term
MNhl24	Acc. ti flexor MN	FBbt:00053132	metathoracic tibial depressor motor neuron		doi:10.7554/eLife.96084.1	parent_term
MNhl25	Acc. ti flexor MN	FBbt:00053132	metathoracic tibial depressor motor neuron		doi:10.7554/eLife.96084.1	parent_term
MNhl26	Acc. ti flexor MN	FBbt:00053132	metathoracic tibial depressor motor neuron		doi:10.7554/eLife.96084.1	parent_term
MNhl27	Acc. ti flexor MN	FBbt:00053132	metathoracic tibial depressor motor neuron		doi:10.7554/eLife.96084.1	parent_term
MNhl28	Acc. ti flexor MN	FBbt:00053132	metathoracic tibial depressor motor neuron		doi:10.7554/eLife.96084.1	parent_term
